TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
ATL,0021801220,ATL vs. IND,L,240,134,43,103,0.417,17,41.0,0.415,31,38,0.816,22.0,39.0,61.0,29,5.0,7,17,25,-1.0
ATL,0021801202,ATL @ MIL,L,240,107,40,100,0.4,17,45.0,0.378,10,19,0.526,9.0,39.0,48.0,25,2.0,3,11,28,-8.0
ATL,0021801181,ATL @ ORL,L,240,113,41,94,0.436,10,39.0,0.256,21,31,0.677,10.0,28.0,38.0,21,16.0,4,14,21,-36.0
ATL,0021801168,ATL vs. PHI,W,240,130,48,92,0.522,12,36.0,0.333,22,28,0.786,11.0,33.0,44.0,29,7.0,7,11,26,8.0
ATL,0021801162,ATL @ SAS,L,240,111,43,94,0.457,12,34.0,0.353,13,20,0.65,11.0,32.0,43.0,26,13.0,2,11,18,-6.0
ATL,0021801145,ATL vs. MIL,W,265,136,52,118,0.441,22,61.0,0.361,10,17,0.588,15.0,43.0,58.0,36,10.0,10,9,13,1.0
ATL,0021801131,ATL vs. POR,L,239,98,38,94,0.404,9,38.0,0.237,13,14,0.929,8.0,33.0,41.0,20,5.0,7,10,22,-20.0
ATL,0021801113,ATL @ NOP,W,239,130,44,97,0.454,19,51.0,0.373,23,26,0.885,9.0,32.0,41.0,30,13.0,4,16,26,10.0
ATL,0021801088,ATL vs. PHI,W,240,129,49,106,0.462,15,47.0,0.319,16,21,0.762,15.0,34.0,49.0,28,8.0,7,12,25,2.0
ATL,0021801076,ATL vs. UTA,W,239,117,41,87,0.471,19,40.0,0.475,16,23,0.696,9.0,34.0,43.0,26,8.0,5,16,23,3.0
ATL,0021801060,ATL vs. HOU,L,241,105,39,84,0.464,15,40.0,0.375,12,15,0.8,8.0,37.0,45.0,30,6.0,1,19,23,-16.0
ATL,0021801046,ATL @ ORL,L,239,91,38,91,0.418,8,35.0,0.229,7,10,0.7,8.0,42.0,50.0,20,8.0,3,18,29,-10.0
ATL,0021801034,ATL @ BOS,L,239,120,43,100,0.43,15,40.0,0.375,19,24,0.792,19.0,31.0,50.0,27,11.0,5,17,25,-9.0
ATL,0021801016,ATL vs. MEM,W,239,132,52,103,0.505,17,45.0,0.378,11,14,0.786,15.0,36.0,51.0,35,9.0,9,11,26,21.0
ATL,0021800995,ATL vs. NOP,W,239,128,48,98,0.49,17,37.0,0.459,15,18,0.833,10.0,46.0,56.0,30,4.0,5,9,12,12.0
ATL,0021800987,ATL vs. BKN,L,240,112,39,105,0.371,8,41.0,0.195,26,32,0.813,18.0,39.0,57.0,22,7.0,2,10,37,-2.0
ATL,0021800968,ATL vs. SAS,L,240,104,36,92,0.391,13,43.0,0.302,19,24,0.792,11.0,36.0,47.0,21,8.0,2,14,18,-7.0
ATL,0021800953,ATL @ MIA,L,240,113,38,91,0.418,17,46.0,0.37,20,25,0.8,16.0,26.0,42.0,25,9.0,2,14,21,-1.0
ATL,0021800946,ATL @ CHI,W,239,123,42,89,0.472,21,42.0,0.5,18,28,0.643,11.0,35.0,46.0,30,10.0,5,13,18,5.0
