Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1AST/TO,Team1AST_RATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TS%,Team1PACE,Team1PIE,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2AST/TO,Team2AST_RATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TS%,Team2PACE,Team2PIE,HomeWin
4,4,389.0,106.3,107.5,1.83,18.4,27.3,73.9,51.1,54.1,104.39,51.1,5,2,336.0,100.8,96.2,1.66,16.7,24.9,75.8,50.6,51.7,101.5,53.2,1
2,4,288.0,102.4,105.0,1.3,14.0,32.9,71.8,50.8,50.7,106.08,47.4,8,1,432.0,120.3,107.5,2.0,20.9,26.6,71.8,51.1,63.1,104.0,58.5,1
7,0,336.0,113.2,98.2,1.57,18.5,26.4,74.7,53.4,59.6,106.0,59.9,4,4,384.0,114.9,109.1,2.09,17.7,27.3,71.9,49.2,57.2,100.44,52.5,0
3,5,389.0,108.0,111.4,1.46,17.9,28.9,67.5,48.7,56.0,99.15,48.2,4,3,346.0,107.6,108.7,1.34,13.8,31.0,75.5,52.3,53.1,100.37,46.2,1
4,2,288.0,104.9,101.5,1.73,17.6,23.9,73.5,47.9,54.8,98.67,51.6,5,3,384.0,112.1,105.5,1.67,17.6,28.0,68.6,49.2,57.7,97.13,53.8,1
3,4,336.0,108.9,107.6,1.37,15.3,33.4,74.7,53.6,53.9,102.71,50.5,2,5,336.0,99.4,109.6,1.8,17.7,27.1,74.0,48.9,49.7,101.07,44.7,1
2,5,336.0,100.1,107.5,1.32,17.0,21.1,71.5,46.4,54.6,108.5,45.5,2,6,384.0,105.2,109.8,1.39,14.3,30.6,74.7,51.0,52.7,100.56,45.0,1
1,6,336.0,108.9,116.5,1.42,15.1,32.3,74.2,51.7,54.3,101.07,44.7,7,1,384.0,114.5,106.7,1.85,18.1,28.4,68.3,49.5,57.8,102.31,55.9,1
4,3,336.0,114.3,113.3,1.88,18.2,29.6,73.4,51.3,57.9,106.71,50.3,1,5,288.0,103.9,113.5,1.5,15.2,27.4,69.9,46.4,51.6,102.17,41.0,0
4,4,384.0,111.4,114.2,1.64,16.1,31.3,66.2,48.7,55.7,103.94,49.9,5,2,346.0,111.9,110.6,2.02,17.3,27.9,74.2,50.8,55.8,99.33,52.0,1
