Team1,Team1Score,Team2,Team2Score
Houston Rockets,96,Brooklyn Nets,105
Golden State Warriors,122,Dallas Mavericks,120
Portland Trail Blazers,124,Los Angeles Lakers,112
Detroit Pistons,94,Indiana Pacers,101
Brooklyn Nets,81,New York Knicks,110
Cleveland Cavaliers,119,Orlando Magic,98
Charlotte Bobcats,123,Philadelphia 76ers,93
Houston Rockets,103,Toronto Raptors,107
Boston Celtics,92,Washington Wizards,118
Chicago Bulls,105,Atlanta Hawks,92
Milwaukee Bucks,77,Miami Heat,96
Memphis Grizzlies,88,Minnesota Timberwolves,102
Golden State Warriors,90,San Antonio Spurs,111
New Orleans Pelicans,107,Denver Nuggets,137
Los Angeles Clippers,112,Phoenix Suns,108
Los Angeles Lakers,102,Sacramento Kings,107
San Antonio Spurs,94,Oklahoma City Thunder,106
Dallas Mavericks,113,Los Angeles Clippers,107
Orlando Magic,80,Charlotte Bobcats,91
Denver Nuggets,92,Memphis Grizzlies,100
Indiana Pacers,94,Toronto Raptors,102
Cleveland Cavaliers,98,Atlanta Hawks,117
Philadelphia 76ers,111,Boston Celtics,102
Detroit Pistons,104,Brooklyn Nets,116
Minnesota Timberwolves,122,Miami Heat,121
Washington Wizards,90,New York Knicks,89
Milwaukee Bucks,90,Chicago Bulls,102
New Orleans Pelicans,96,Utah Jazz,100
Oklahoma City Thunder,107,Houston Rockets,111
Phoenix Suns,109,Portland Trail Blazers,93
Sacramento Kings,69,Golden State Warriors,102
Dallas Mavericks,107,Los Angeles Lakers,95
Minnesota Timberwolves,92,Orlando Magic,100
Chicago Bulls,96,Washington Wizards,78
Charlotte Bobcats,96,Cleveland Cavaliers,94
Boston Celtics,111,Detroit Pistons,115
Brooklyn Nets,105,Philadelphia 76ers,101
Toronto Raptors,102,Milwaukee Bucks,98
New York Knicks,91,Miami Heat,102
Los Angeles Lakers,97,Los Angeles Clippers,120
Atlanta Hawks,107,Indiana Pacers,88
Dallas Mavericks,93,Sacramento Kings,91
Denver Nuggets,125,Houston Rockets,130
Memphis Grizzlies,92,San Antonio Spurs,112
Utah Jazz,102,Golden State Warriors,130
Oklahoma City Thunder,115,Phoenix Suns,122
New Orleans Pelicans,94,Portland Trail Blazers,100
Detroit Pistons,102,Atlanta Hawks,95
Brooklyn Nets,88,Miami Heat,87
San Antonio Spurs,91,Minnesota Timberwolves,110
Dallas Mavericks,95,Utah Jazz,83
Oklahoma City Thunder,107,Sacramento Kings,92
Houston Rockets,145,Los Angeles Lakers,130
Detroit Pistons,100,Cleveland Cavaliers,122
Brooklyn Nets,111,Orlando Magic,115
Philadelphia 76ers,114,Toronto Raptors,125
Charlotte Bobcats,94,Washington Wizards,88
Boston Celtics,97,Atlanta Hawks,105
Miami Heat,102,Memphis Grizzlies,107
Indiana Pacers,104,Milwaukee Bucks,102
Chicago Bulls,102,Minnesota Timberwolves,87
Phoenix Suns,94,New Orleans Pelicans,88
Houston Rockets,116,Denver Nuggets,123
Sacramento Kings,99,Portland Trail Blazers,100
Oklahoma City Thunder,107,Los Angeles Clippers,101
San Antonio Spurs,109,Dallas Mavericks,100
Denver Nuggets,100,Golden State Warriors,99
Washington Wizards,96,Orlando Magic,86
New York Knicks,108,Toronto Raptors,100
Charlotte Bobcats,103,Boston Celtics,106
Atlanta Hawks,93,Brooklyn Nets,88
Indiana Pacers,86,Miami Heat,98
Detroit Pistons,98,Chicago Bulls,106
Philadelphia 76ers,95,Memphis Grizzlies,117
Houston Rockets,110,Minnesota Timberwolves,112
New Orleans Pelicans,94,Oklahoma City Thunder,116
Cleveland Cavaliers,116,Milwaukee Bucks,119
Phoenix Suns,104,San Antonio Spurs,112
Portland Trail Blazers,111,Utah Jazz,99
Golden State Warriors,112,Los Angeles Lakers,95
Sacramento Kings,101,Los Angeles Clippers,117
Philadelphia 76ers,105,Charlotte Bobcats,111
Milwaukee Bucks,91,Washington Wizards,104
Miami Heat,85,Atlanta Hawks,98
Boston Celtics,111,Cleveland Cavaliers,99
New Orleans Pelicans,104,Houston Rockets,111
Phoenix Suns,98,Dallas Mavericks,101
Utah Jazz,94,Denver Nuggets,101
Oklahoma City Thunder,97,Indiana Pacers,102
Toronto Raptors,116,Detroit Pistons,107
Orlando Magic,88,Brooklyn Nets,97
Chicago Bulls,89,New York Knicks,100
Golden State Warriors,117,Portland Trail Blazers,119
Minnesota Timberwolves,103,Sacramento Kings,106
Memphis Grizzlies,102,Los Angeles Lakers,90
Boston Celtics,108,Philadelphia 76ers,113
Milwaukee Bucks,100,Toronto Raptors,110
