Team1,Team1Score,Team2,Team2Score
Miami Heat,83,Boston Celtics,75
Los Angeles Lakers,80,New York Knicks,92
Philadelphia 76ers,84,Cleveland Cavaliers,97
Charlotte Hornets,92,Washington Wizards,88
Los Angeles Clippers,100,Brooklyn Nets,102
Milwaukee Bucks,82,Toronto Raptors,75
Atlanta Hawks,100,New Orleans Pelicans,115
Orlando Magic,97,Oklahoma City Thunder,104
Minnesota Timberwolves,94,Dallas Mavericks,100
Memphis Grizzlies,102,Phoenix Suns,101
Denver Nuggets,98,Philadelphia 76ers,105
Miami Heat,91,Detroit Pistons,108
Boston Celtics,108,New York Knicks,97
Utah Jazz,102,Portland Trail Blazers,103
Golden State Warriors,121,Sacramento Kings,96
Detroit Pistons,109,Indiana Pacers,114
Washington Wizards,96,Atlanta Hawks,105
Denver Nuggets,100,Boston Celtics,104
Brooklyn Nets,109,Toronto Raptors,93
Chicago Bulls,90,Houston Rockets,101
Los Angeles Lakers,105,Milwaukee Bucks,113
Miami Heat,101,Minnesota Timberwolves,102
Oklahoma City Thunder,102,New Orleans Pelicans,91
Orlando Magic,103,San Antonio Spurs,110
Memphis Grizzlies,100,Utah Jazz,90
Dallas Mavericks,114,Golden State Warriors,128
Washington Wizards,87,Charlotte Hornets,94
Los Angeles Clippers,94,Cleveland Cavaliers,105
Dallas Mavericks,101,Sacramento Kings,78
Phoenix Suns,87,Portland Trail Blazers,108
New York Knicks,88,Brooklyn Nets,92
Cleveland Cavaliers,99,Indiana Pacers,103
Los Angeles Lakers,97,Orlando Magic,103
Los Angeles Clippers,107,Toronto Raptors,123
Golden State Warriors,116,Atlanta Hawks,124
Philadelphia 76ers,96,Boston Celtics,107
Denver Nuggets,88,Detroit Pistons,98
Milwaukee Bucks,111,Houston Rockets,117
Memphis Grizzlies,89,Minnesota Timberwolves,90
New Orleans Pelicans,116,Oklahoma City Thunder,113
Utah Jazz,93,Phoenix Suns,100
Miami Heat,85,San Antonio Spurs,98
Chicago Bulls,107,New Orleans Pelicans,72
Brooklyn Nets,77,Washington Wizards,114
Golden State Warriors,106,New York Knicks,92
Charlotte Hornets,81,Philadelphia 76ers,89
Portland Trail Blazers,101,Dallas Mavericks,111
Boston Celtics,93,Milwaukee Bucks,96
Sacramento Kings,90,Utah Jazz,102
Los Angeles Clippers,108,Oklahoma City Thunder,131
Los Angeles Lakers,105,Cleveland Cavaliers,120
Indiana Pacers,103,Charlotte Hornets,102
Minnesota Timberwolves,112,Detroit Pistons,101
Atlanta Hawks,88,Memphis Grizzlies,94
Chicago Bulls,98,Orlando Magic,97
Portland Trail Blazers,109,Houston Rockets,98
San Antonio Spurs,82,Toronto Raptors,87
Phoenix Suns,83,Sacramento Kings,85
San Antonio Spurs,95,Indiana Pacers,93
Golden State Warriors,89,Philadelphia 76ers,84
Orlando Magic,80,Washington Wizards,96
New York Knicks,95,Miami Heat,109
