Team1,Team1Score,Team2,Team2Score
Phoenix Suns,92,Charlotte Hornets,126
Chicago Bulls,111,Miami Heat,129
Portland Trail Blazers,104,New York Knicks,85
Orlando Magic,108,Dallas Mavericks,121
Atlanta Hawks,105,Golden State Warriors,109
Brooklyn Nets,101,Los Angeles Lakers,107
Chicago Bulls,89,Orlando Magic,102
Charlotte Hornets,119,Philadelphia 76ers,99
Portland Trail Blazers,93,Boston Celtics,116
Utah Jazz,94,Toronto Raptors,104
New Orleans Pelicans,95,Houston Rockets,100
Sacramento Kings,98,Memphis Grizzlies,104
Indiana Pacers,104,Milwaukee Bucks,99
Washington Wizards,104,Minnesota Timberwolves,98
Detroit Pistons,81,San Antonio Spurs,97
Los Angeles Lakers,107,Denver Nuggets,117
Oklahoma City Thunder,98,Los Angeles Clippers,103
Phoenix Suns,92,Miami Heat,108
San Antonio Spurs,94,New Orleans Pelicans,86
Sacramento Kings,104,Dallas Mavericks,101
Oklahoma City Thunder,106,Golden State Warriors,121
Indiana Pacers,101,Charlotte Hornets,108
Phoenix Suns,102,Orlando Magic,84
Miami Heat,112,Philadelphia 76ers,102
New York Knicks,104,Boston Celtics,105
Portland Trail Blazers,115,Toronto Raptors,117
Washington Wizards,83,Cleveland Cavaliers,108
Utah Jazz,88,Memphis Grizzlies,94
Minnesota Timberwolves,101,Milwaukee Bucks,116
Brooklyn Nets,121,Denver Nuggets,120
Atlanta Hawks,106,Los Angeles Lakers,77
Boston Celtics,103,Cleveland Cavaliers,120
Utah Jazz,106,New Orleans Pelicans,94
Detroit Pistons,89,New York Knicks,102
Indiana Pacers,100,Washington Wizards,99
Brooklyn Nets,118,Minnesota Timberwolves,132
Houston Rockets,100,Chicago Bulls,108
Sacramento Kings,94,San Antonio Spurs,104
Atlanta Hawks,107,Los Angeles Clippers,97
Golden State Warriors,95,Los Angeles Lakers,112
Oklahoma City Thunder,104,Milwaukee Bucks,96
Phoenix Suns,109,Memphis Grizzlies,100
Dallas Mavericks,114,Denver Nuggets,116
Portland Trail Blazers,103,Detroit Pistons,123
Philadelphia 76ers,98,Miami Heat,103
Houston Rockets,113,Toronto Raptors,107
Minnesota Timberwolves,103,Charlotte Hornets,108
Memphis Grizzlies,106,Cleveland Cavaliers,103
San Antonio Spurs,91,Indiana Pacers,99
Milwaukee Bucks,90,Chicago Bulls,100
Sacramento Kings,112,New Orleans Pelicans,115
Los Angeles Clippers,109,Dallas Mavericks,90
Orlando Magic,113,Golden State Warriors,119
Brooklyn Nets,99,Toronto Raptors,104
San Antonio Spurs,116,Minnesota Timberwolves,91
New York Knicks,94,Denver Nuggets,110
Atlanta Hawks,91,Utah Jazz,84
Washington Wizards,109,Portland Trail Blazers,116
Orlando Magic,98,Los Angeles Lakers,107
Memphis Grizzlies,96,Boston Celtics,116
New Orleans Pelicans,113,Charlotte Hornets,122
Houston Rockets,118,Philadelphia 76ers,104
Miami Heat,108,Milwaukee Bucks,114
Detroit Pistons,102,Dallas Mavericks,96
New York Knicks,128,Phoenix Suns,97
Los Angeles Clippers,108,Oklahoma City Thunder,120
Cleveland Cavaliers,120,Sacramento Kings,111
Utah Jazz,94,Golden State Warriors,115
Atlanta Hawks,96,Toronto Raptors,104
Chicago Bulls,101,San Antonio Spurs,109
Phoenix Suns,98,Denver Nuggets,116
Cleveland Cavaliers,120,Los Angeles Lakers,108
Detroit Pistons,103,Charlotte Hornets,118
Brooklyn Nets,89,Philadelphia 76ers,95
Houston Rockets,102,Boston Celtics,98
Miami Heat,118,Chicago Bulls,96
New Orleans Pelicans,114,Memphis Grizzlies,121
Minnesota Timberwolves,99,Oklahoma City Thunder,96
Washington Wizards,93,Utah Jazz,114
Orlando Magic,107,Sacramento Kings,100
Portland Trail Blazers,112,Golden State Warriors,128
New York Knicks,94,Los Angeles Clippers,101
Indiana Pacers,112,Dallas Mavericks,105
Houston Rockets,109,Charlotte Hornets,125
Detroit Pistons,125,Philadelphia 76ers,111
Miami Heat,104,Toronto Raptors,112
Memphis Grizzlies,83,Atlanta Hawks,95
New Orleans Pelicans,92,Milwaukee Bucks,103
Oklahoma City Thunder,85,San Antonio Spurs,93
Washington Wizards,100,Denver Nuggets,116
Phoenix Suns,116,Golden State Warriors,123
Orlando Magic,84,Portland Trail Blazers,121
Cleveland Cavaliers,114,Los Angeles Clippers,90
Indiana Pacers,75,Atlanta Hawks,104
Utah Jazz,108,Sacramento Kings,99
Milwaukee Bucks,109,Brooklyn Nets,100
New York Knicks,90,Los Angeles Lakers,87
Dallas Mavericks,107,Charlotte Hornets,96
Denver Nuggets,119,Miami Heat,124
Chicago Bulls,109,Toronto Raptors,107
Memphis Grizzlies,81,Houston Rockets,130
Portland Trail Blazers,94,Oklahoma City Thunder,128
Detroit Pistons,81,Washington Wizards,124
Minnesota Timberwolves,104,Phoenix Suns,107
New Orleans Pelicans,107,Golden State Warriors,125
Cleveland Cavaliers,85,Utah Jazz,94
Boston Celtics,98,Indiana Pacers,103
Denver Nuggets,110,Orlando Magic,116
Philadelphia 76ers,114,Brooklyn Nets,131
Toronto Raptors,107,Milwaukee Bucks,89
Los Angeles Clippers,87,San Antonio Spurs,108
Sacramento Kings,106,Los Angeles Lakers,98
Oklahoma City Thunder,130,Boston Celtics,109
Orlando Magic,99,Charlotte Hornets,107
Dallas Mavericks,98,Cleveland Cavaliers,99
Chicago Bulls,96,Washington Wizards,117
Atlanta Hawks,118,Detroit Pistons,114
Minnesota Timberwolves,114,Memphis Grizzlies,108
Los Angeles Clippers,122,Houston Rockets,106
New Orleans Pelicans,123,Sacramento Kings,108
New York Knicks,85,Golden State Warriors,121
Toronto Raptors,101,Indiana Pacers,94
Washington Wizards,99,Philadelphia 76ers,94
Charlotte Hornets,109,Miami Heat,106
Denver Nuggets,98,Atlanta Hawks,116
Brooklyn Nets,102,Chicago Bulls,118
Memphis Grizzlies,86,Milwaukee Bucks,96
Portland Trail Blazers,110,San Antonio Spurs,118
Phoenix Suns,69,Utah Jazz,103
Cleveland Cavaliers,109,Orlando Magic,103
Oklahoma City Thunder,111,Philadelphia 76ers,97
Sacramento Kings,108,Detroit Pistons,115
Boston Celtics,91,Toronto Raptors,105
Minnesota Timberwolves,111,Houston Rockets,116
Portland Trail Blazers,117,New Orleans Pelicans,112
Golden State Warriors,130,Dallas Mavericks,112
Phoenix Suns,95,Los Angeles Lakers,90
Denver Nuggets,101,Charlotte Hornets,93
Brooklyn Nets,103,Detroit Pistons,115
Oklahoma City Thunder,115,Indiana Pacers,111
New York Knicks,89,Washington Wizards,99
Houston Rockets,97,Atlanta Hawks,109
Cleveland Cavaliers,101,Miami Heat,122
Utah Jazz,85,Chicago Bulls,92
Los Angeles Clippers,102,Memphis Grizzlies,113
Golden State Warriors,79,San Antonio Spurs,87
Portland Trail Blazers,120,Dallas Mavericks,132
Orlando Magic,100,Toronto Raptors,105
Los Angeles Clippers,105,New Orleans Pelicans,109
Boston Celtics,120,Philadelphia 76ers,105
Utah Jazz,94,Milwaukee Bucks,85
Sacramento Kings,88,New York Knicks,80
San Antonio Spurs,88,Charlotte Hornets,91
Denver Nuggets,91,Cleveland Cavaliers,124
Philadelphia 76ers,75,Indiana Pacers,91
Orlando Magic,96,Boston Celtics,107
Milwaukee Bucks,91,Detroit Pistons,92
Washington Wizards,117,Atlanta Hawks,102
Sacramento Kings,102,Chicago Bulls,109
Golden State Warriors,109,Minnesota Timberwolves,104
Memphis Grizzlies,103,Phoenix Suns,97
Charlotte Hornets,105,Brooklyn Nets,100
Miami Heat,113,New Orleans Pelicans,99
Houston Rockets,107,Oklahoma City Thunder,111
Memphis Grizzlies,100,Los Angeles Lakers,107
Milwaukee Bucks,104,Cleveland Cavaliers,113
