Team1,Team1Score,Team2,Team2Score
New York Knicks,88,Cleveland Cavaliers,117
Utah Jazz,104,Portland Trail Blazers,113
San Antonio Spurs,129,Golden State Warriors,100
Dallas Mavericks,121,Indiana Pacers,130
Miami Heat,108,Orlando Magic,96
Detroit Pistons,91,Toronto Raptors,109
Brooklyn Nets,117,Boston Celtics,122
Charlotte Hornets,107,Milwaukee Bucks,96
Denver Nuggets,107,New Orleans Pelicans,102
Minnesota Timberwolves,98,Memphis Grizzlies,102
Oklahoma City Thunder,103,Philadelphia 76ers,97
Sacramento Kings,113,Phoenix Suns,94
Houston Rockets,114,Los Angeles Lakers,120
Washington Wizards,99,Atlanta Hawks,114
Boston Celtics,99,Chicago Bulls,105
Los Angeles Clippers,114,Portland Trail Blazers,106
San Antonio Spurs,102,Sacramento Kings,94
Cleveland Cavaliers,94,Toronto Raptors,91
Indiana Pacers,94,Brooklyn Nets,103
Orlando Magic,82,Detroit Pistons,108
Phoenix Suns,110,Oklahoma City Thunder,113
Charlotte Hornets,97,Miami Heat,91
Houston Rockets,106,Dallas Mavericks,98
Los Angeles Lakers,89,Utah Jazz,96
Golden State Warriors,122,New Orleans Pelicans,114
Atlanta Hawks,104,Philadelphia 76ers,72
Boston Celtics,104,Charlotte Hornets,98
Orlando Magic,99,Cleveland Cavaliers,105
Memphis Grizzlies,104,New York Knicks,111
New Orleans Pelicans,79,San Antonio Spurs,98
Brooklyn Nets,108,Milwaukee Bucks,110
Indiana Pacers,101,Chicago Bulls,118
Portland Trail Blazers,115,Denver Nuggets,113
Minnesota Timberwolves,103,Sacramento Kings,106
Utah Jazz,75,Los Angeles Clippers,88
Milwaukee Bucks,83,Detroit Pistons,98
San Antonio Spurs,106,Miami Heat,99
Golden State Warriors,106,Phoenix Suns,100
Los Angeles Lakers,96,Oklahoma City Thunder,113
Dallas Mavericks,92,Houston Rockets,93
Washington Wizards,103,Memphis Grizzlies,112
Sacramento Kings,95,Atlanta Hawks,106
Chicago Bulls,118,Brooklyn Nets,88
Denver Nuggets,102,Toronto Raptors,105
Phoenix Suns,98,Los Angeles Clippers,116
