Team1,Team1Score,Team2,Team2Score
Utah Jazz,116,Toronto Raptors,122
Detroit Pistons,98,Milwaukee Bucks,121
New York Knicks,108,Denver Nuggets,115
Portland Trail Blazers,113,Sacramento Kings,108
Philadelphia 76ers,119,Los Angeles Clippers,113
Dallas Mavericks,122,Charlotte Hornets,84
Miami Heat,117,Cleveland Cavaliers,92
Atlanta Hawks,98,Washington Wizards,114
New Orleans Pelicans,121,Brooklyn Nets,126
Minnesota Timberwolves,102,Boston Celtics,115
Orlando Magic,112,Chicago Bulls,84
Detroit Pistons,101,Memphis Grizzlies,94
Philadelphia 76ers,132,Phoenix Suns,127
Oklahoma City Thunder,107,Los Angeles Lakers,100
Toronto Raptors,107,San Antonio Spurs,125
Denver Nuggets,117,Sacramento Kings,113
Houston Rockets,135,Golden State Warriors,134
Utah Jazz,117,Cleveland Cavaliers,91
Dallas Mavericks,93,Boston Celtics,114
Indiana Pacers,119,Chicago Bulls,116
Brooklyn Nets,109,Memphis Grizzlies,100
Washington Wizards,109,Miami Heat,115
Orlando Magic,103,Minnesota Timberwolves,120
Atlanta Hawks,112,Milwaukee Bucks,144
Los Angeles Clippers,121,Phoenix Suns,111
New York Knicks,119,Los Angeles Lakers,112
Oklahoma City Thunder,111,Portland Trail Blazers,109
Charlotte Hornets,110,Denver Nuggets,123
Utah Jazz,110,Detroit Pistons,105
Dallas Mavericks,100,Philadelphia 76ers,106
New Orleans Pelicans,133,Cleveland Cavaliers,98
Toronto Raptors,123,Milwaukee Bucks,116
Memphis Grizzlies,88,San Antonio Spurs,108
Houston Rockets,101,Portland Trail Blazers,110
Golden State Warriors,127,Sacramento Kings,123
Brooklyn Nets,117,Chicago Bulls,100
Orlando Magic,96,Los Angeles Clippers,106
Los Angeles Lakers,86,Minnesota Timberwolves,108
Miami Heat,82,Atlanta Hawks,106
Washington Wizards,116,Oklahoma City Thunder,98
Indiana Pacers,105,Toronto Raptors,121
Charlotte Hornets,119,Phoenix Suns,113
San Antonio Spurs,119,Detroit Pistons,107
Brooklyn Nets,95,Boston Celtics,116
Denver Nuggets,113,Houston Rockets,125
Utah Jazz,102,Milwaukee Bucks,114
Memphis Grizzlies,95,New Orleans Pelicans,114
Los Angeles Lakers,107,Dallas Mavericks,97
New York Knicks,101,Portland Trail Blazers,111
Orlando Magic,95,Sacramento Kings,111
Indiana Pacers,123,Cleveland Cavaliers,115
Washington Wizards,115,Philadelphia 76ers,132
Denver Nuggets,103,Miami Heat,99
Atlanta Hawks,101,Toronto Raptors,104
Minnesota Timberwolves,119,Oklahoma City Thunder,117
Sacramento Kings,111,Phoenix Suns,115
New York Knicks,95,Golden State Warriors,122
Charlotte Hornets,109,Los Angeles Clippers,128
Indiana Pacers,108,Boston Celtics,135
Philadelphia 76ers,106,Washington Wizards,123
