Team1,Team1Score,Team2,Team2Score
Miami Heat,125,Denver Nuggets,105
Utah Jazz,94,Oklahoma City Thunder,110
New Orleans Pelicans,103,Los Angeles Clippers,126
Philadelphia 76ers,121,Indiana Pacers,127
Los Angeles Lakers,92,Toronto Raptors,107
Washington Wizards,110,Brooklyn Nets,118
Portland Trail Blazers,124,Boston Celtics,128
San Antonio Spurs,108,Memphis Grizzlies,106
Sacramento Kings,116,Orlando Magic,132
Milwaukee Bucks,116,Houston Rockets,120
Dallas Mavericks,115,Phoenix Suns,117
Toronto Raptors,107,Miami Heat,103
Indiana Pacers,111,Washington Wizards,100
Denver Nuggets,121,Oklahoma City Thunder,113
Memphis Grizzlies,99,New Orleans Pelicans,109
San Antonio Spurs,130,Philadelphia 76ers,132
Los Angeles Lakers,116,Utah Jazz,108
Brooklyn Nets,119,Milwaukee Bucks,116
Dallas Mavericks,114,Sacramento Kings,110
Phoenix Suns,117,Los Angeles Clippers,115
Orlando Magic,109,Indiana Pacers,120
Boston Celtics,106,Miami Heat,112
Houston Rockets,102,Portland Trail Blazers,110
Memphis Grizzlies,115,Utah Jazz,124
Philadelphia 76ers,107,Washington Wizards,98
Denver Nuggets,132,San Antonio Spurs,126
Oklahoma City Thunder,105,Los Angeles Lakers,86
Toronto Raptors,109,Orlando Magic,99
Brooklyn Nets,115,Boston Celtics,149
New Orleans Pelicans,125,Sacramento Kings,140
Miami Heat,116,Milwaukee Bucks,130
Indiana Pacers,99,Phoenix Suns,114
Los Angeles Clippers,126,Dallas Mavericks,111
Portland Trail Blazers,125,Denver Nuggets,115
Los Angeles Lakers,97,Houston Rockets,113
Utah Jazz,111,San Antonio Spurs,119
Oklahoma City Thunder,92,Memphis Grizzlies,121
Sacramento Kings,106,Brooklyn Nets,119
Orlando Magic,101,Philadelphia 76ers,108
Washington Wizards,107,New Orleans Pelicans,118
Boston Celtics,122,Toronto Raptors,100
Los Angeles Clippers,122,Portland Trail Blazers,117
Utah Jazz,132,Denver Nuggets,134
Los Angeles Lakers,111,Indiana Pacers,116
Phoenix Suns,119,Miami Heat,112
Milwaukee Bucks,132,Dallas Mavericks,136
Washington Wizards,103,Oklahoma City Thunder,121
Memphis Grizzlies,99,Toronto Raptors,108
San Antonio Spurs,122,New Orleans Pelicans,113
Orlando Magic,119,Boston Celtics,122
Philadelphia 76ers,121,Portland Trail Blazers,124
Houston Rockets,129,Sacramento Kings,112
Brooklyn Nets,129,Los Angeles Clippers,120
Oklahoma City Thunder,101,Phoenix Suns,128
Dallas Mavericks,122,Utah Jazz,114
Toronto Raptors,114,Milwaukee Bucks,106
Indiana Pacers,92,Miami Heat,114
Denver Nuggets,121,Los Angeles Lakers,124
Brooklyn Nets,108,Orlando Magic,96
Houston Rockets,105,San Antonio Spurs,123
Phoenix Suns,130,Philadelphia 76ers,117
Boston Celtics,122,Memphis Grizzlies,107
Portland Trail Blazers,134,Dallas Mavericks,131
Milwaukee Bucks,126,Washington Wizards,113
New Orleans Pelicans,106,Sacramento Kings,112
Indiana Pacers,108,Houston Rockets,104
Toronto Raptors,125,Philadelphia 76ers,121
Miami Heat,115,Oklahoma City Thunder,116
Los Angeles Clippers,124,Denver Nuggets,111
Washington Wizards,96,Boston Celtics,90
Sacramento Kings,136,Los Angeles Lakers,122
Dallas Mavericks,102,Phoenix Suns,128
Milwaukee Bucks,106,Memphis Grizzlies,119
San Antonio Spurs,112,Utah Jazz,118
New Orleans Pelicans,127,Orlando Magic,133
Portland Trail Blazers,134,Brooklyn Nets,133
Denver Nuggets,109,Toronto Raptors,117
Miami Heat,92,Indiana Pacers,109
Oklahoma City Thunder,103,Los Angeles Clippers,107
Philadelphia 76ers,134,Houston Rockets,96
Memphis Grizzlies,122,Portland Trail Blazers,126
Utah Jazz,125,Denver Nuggets,135
Brooklyn Nets,110,Toronto Raptors,134
Philadelphia 76ers,101,Boston Celtics,109
Dallas Mavericks,110,Los Angeles Clippers,118
Orlando Magic,122,Milwaukee Bucks,110
Miami Heat,113,Indiana Pacers,101
Oklahoma City Thunder,108,Houston Rockets,123
Portland Trail Blazers,100,Los Angeles Lakers,93
Brooklyn Nets,99,Toronto Raptors,104
Utah Jazz,124,Denver Nuggets,105
Philadelphia 76ers,101,Boston Celtics,128
