Team1,Team1Score,Team2,Team2Score
Sacramento Kings,66,Detroit Pistons,95
Portland Trail Blazers,70,Golden State Warriors,98
Denver Nuggets,96,Los Angeles Lakers,104
Utah Jazz,96,Seattle SuperSonics,90
Dallas Mavericks,108,Orlando Magic,102
Houston Rockets,89,Toronto Raptors,100
Charlotte Hornets,97,Utah Jazz,107
Boston Celtics,95,Atlanta Hawks,105
Toronto Raptors,74,Cleveland Cavaliers,93
Denver Nuggets,99,Golden State Warriors,114
Charlotte Hornets,89,Los Angeles Clippers,96
Seattle SuperSonics,106,Los Angeles Lakers,110
Chicago Bulls,107,Milwaukee Bucks,104
Sacramento Kings,96,Minnesota Timberwolves,89
Miami Heat,99,New York Knicks,75
Indiana Pacers,98,Portland Trail Blazers,93
Atlanta Hawks,90,Detroit Pistons,100
Boston Celtics,89,Houston Rockets,94
Dallas Mavericks,79,Miami Heat,101
New York Knicks,109,New Jersey Nets,102
Cleveland Cavaliers,84,Orlando Magic,57
Golden State Warriors,87,Phoenix Suns,118
Philadelphia 76ers,103,San Antonio Spurs,113
Los Angeles Lakers,75,Utah Jazz,101
Indiana Pacers,127,Vancouver Grizzlies,80
Los Angeles Clippers,96,Chicago Bulls,114
Philadelphia 76ers,102,Dallas Mavericks,106
Portland Trail Blazers,115,Denver Nuggets,104
Minnesota Timberwolves,86,Seattle SuperSonics,117
Washington Bullets,80,Toronto Raptors,82
New Jersey Nets,110,Boston Celtics,108
Cleveland Cavaliers,81,Detroit Pistons,93
Indiana Pacers,86,Golden State Warriors,71
Orlando Magic,81,Los Angeles Lakers,92
New York Knicks,103,Miami Heat,85
Charlotte Hornets,93,Portland Trail Blazers,97
Phoenix Suns,101,Sacramento Kings,95
Vancouver Grizzlies,105,San Antonio Spurs,89
Minnesota Timberwolves,95,Utah Jazz,106
Toronto Raptors,75,Atlanta Hawks,101
Miami Heat,83,Chicago Bulls,80
Vancouver Grizzlies,85,Dallas Mavericks,96
Utah Jazz,104,Denver Nuggets,91
Philadelphia 76ers,108,Houston Rockets,123
Detroit Pistons,95,New Jersey Nets,69
Los Angeles Clippers,80,New York Knicks,89
Charlotte Hornets,94,Seattle SuperSonics,92
Milwaukee Bucks,126,Washington Bullets,118
Los Angeles Clippers,69,Cleveland Cavaliers,90
San Antonio Spurs,88,Golden State Warriors,114
Minnesota Timberwolves,86,Los Angeles Lakers,110
Boston Celtics,87,Milwaukee Bucks,100
Indiana Pacers,93,Phoenix Suns,106
Orlando Magic,84,Sacramento Kings,91
Chicago Bulls,89,Toronto Raptors,97
Seattle SuperSonics,118,Philadelphia 76ers,94
Charlotte Hornets,107,Vancouver Grizzlies,91
Denver Nuggets,88,Atlanta Hawks,89
Miami Heat,76,Cleveland Cavaliers,74
Dallas Mavericks,100,Los Angeles Clippers,95
Detroit Pistons,93,Milwaukee Bucks,85
