Team1,Team1Score,Team2,Team2Score
Miami Heat,71,Cleveland Cavaliers,66
Utah Jazz,97,Dallas Mavericks,100
Sacramento Kings,113,Denver Nuggets,107
Golden State Warriors,98,Los Angeles Clippers,110
Philadelphia 76ers,109,Milwaukee Bucks,100
Detroit Pistons,90,New Jersey Nets,75
Phoenix Suns,86,Toronto Raptors,110
Vancouver Grizzlies,102,Boston Celtics,92
Atlanta Hawks,104,Denver Nuggets,115
Phoenix Suns,106,Detroit Pistons,97
New Jersey Nets,90,Indiana Pacers,92
Washington Bullets,99,Los Angeles Lakers,129
Cleveland Cavaliers,76,Miami Heat,80
Portland Trail Blazers,102,Minnesota Timberwolves,103
Charlotte Hornets,99,New York Knicks,93
Houston Rockets,90,Orlando Magic,103
Chicago Bulls,91,Seattle SuperSonics,84
Sacramento Kings,85,San Antonio Spurs,79
Boston Celtics,114,Toronto Raptors,102
Washington Bullets,89,Utah Jazz,111
Minnesota Timberwolves,101,Charlotte Hornets,115
Sacramento Kings,96,Dallas Mavericks,104
Atlanta Hawks,107,Golden State Warriors,85
Los Angeles Lakers,86,Los Angeles Clippers,108
Cleveland Cavaliers,79,Milwaukee Bucks,78
Vancouver Grizzlies,105,New Jersey Nets,111
Houston Rockets,95,New York Knicks,99
Indiana Pacers,87,Orlando Magic,111
Chicago Bulls,88,Portland Trail Blazers,84
Miami Heat,118,Boston Celtics,117
Washington Bullets,104,Denver Nuggets,106
Chicago Bulls,90,Los Angeles Lakers,106
San Antonio Spurs,97,Philadelphia 76ers,113
Atlanta Hawks,81,Phoenix Suns,99
Utah Jazz,99,Seattle SuperSonics,95
Cleveland Cavaliers,84,Toronto Raptors,89
Sacramento Kings,100,Charlotte Hornets,115
Houston Rockets,87,Detroit Pistons,96
Milwaukee Bucks,90,Miami Heat,102
Vancouver Grizzlies,86,Minnesota Timberwolves,103
Indiana Pacers,104,New Jersey Nets,100
San Antonio Spurs,84,New York Knicks,96
Boston Celtics,111,Orlando Magic,119
Charlotte Hornets,100,Chicago Bulls,103
Philadelphia 76ers,94,Cleveland Cavaliers,105
San Antonio Spurs,111,Dallas Mavericks,97
Vancouver Grizzlies,97,Houston Rockets,106
Boston Celtics,112,Los Angeles Clippers,116
Detroit Pistons,91,Miami Heat,104
Toronto Raptors,96,Milwaukee Bucks,101
New Jersey Nets,104,Orlando Magic,98
Phoenix Suns,108,Portland Trail Blazers,111
Utah Jazz,120,Sacramento Kings,98
Denver Nuggets,81,Seattle SuperSonics,108
New York Knicks,97,Washington Bullets,92
Toronto Raptors,84,Atlanta Hawks,106
New Jersey Nets,100,Charlotte Hornets,113
Orlando Magic,87,Detroit Pistons,96
Cleveland Cavaliers,83,Indiana Pacers,75
Los Angeles Lakers,100,Minnesota Timberwolves,84
Boston Celtics,100,Phoenix Suns,131
Vancouver Grizzlies,106,San Antonio Spurs,101
Golden State Warriors,107,Dallas Mavericks,99
Los Angeles Lakers,132,Denver Nuggets,117
Indiana Pacers,90,Miami Heat,106
Philadelphia 76ers,92,New York Knicks,107
Los Angeles Clippers,98,Sacramento Kings,105
Portland Trail Blazers,86,Utah Jazz,110
Chicago Bulls,89,Atlanta Hawks,88
Detroit Pistons,109,Charlotte Hornets,103
Orlando Magic,100,Minnesota Timberwolves,104
Los Angeles Clippers,93,Phoenix Suns,110
Golden State Warriors,108,San Antonio Spurs,94
Houston Rockets,85,Seattle SuperSonics,105
Milwaukee Bucks,106,Toronto Raptors,102
Boston Celtics,106,Vancouver Grizzlies,109
New Jersey Nets,107,Washington Bullets,125
Philadelphia 76ers,99,Miami Heat,125
Denver Nuggets,87,Milwaukee Bucks,92
Washington Bullets,86,New Jersey Nets,107
Houston Rockets,105,Portland Trail Blazers,109
Atlanta Hawks,109,San Antonio Spurs,89
Dallas Mavericks,84,Utah Jazz,99
Orlando Magic,89,Chicago Bulls,110
Seattle SuperSonics,102,Los Angeles Lakers,91
Phoenix Suns,96,Minnesota Timberwolves,107
Indiana Pacers,80,New York Knicks,89
Denver Nuggets,112,Philadelphia 76ers,97
Boston Celtics,106,Portland Trail Blazers,118
Golden State Warriors,85,Sacramento Kings,105
Detroit Pistons,92,Toronto Raptors,89
Orlando Magic,110,Charlotte Hornets,124
New Jersey Nets,101,Cleveland Cavaliers,108
Atlanta Hawks,98,Houston Rockets,127
Toronto Raptors,103,Indiana Pacers,105
Boston Celtics,108,Seattle SuperSonics,113
Dallas Mavericks,100,Vancouver Grizzlies,95
Milwaukee Bucks,93,Washington Bullets,95
Denver Nuggets,123,Chicago Bulls,134
Dallas Mavericks,69,Los Angeles Clippers,87
Phoenix Suns,94,New York Knicks,95
Miami Heat,111,Philadelphia 76ers,83
Minnesota Timberwolves,84,Sacramento Kings,95
San Antonio Spurs,105,Utah Jazz,113
Indiana Pacers,87,Atlanta Hawks,100
Phoenix Suns,115,Charlotte Hornets,123
Washington Bullets,85,Detroit Pistons,100
Boston Celtics,101,Golden State Warriors,112
Cleveland Cavaliers,103,Los Angeles Lakers,84
Portland Trail Blazers,84,Orlando Magic,95
Toronto Raptors,125,San Antonio Spurs,92
Minnesota Timberwolves,84,Vancouver Grizzlies,73
Milwaukee Bucks,101,Dallas Mavericks,99
Toronto Raptors,97,Houston Rockets,107
Denver Nuggets,68,Indiana Pacers,92
Miami Heat,92,New Jersey Nets,87
Los Angeles Clippers,84,Philadelphia 76ers,101
New York Knicks,109,Sacramento Kings,87
Boston Celtics,105,Utah Jazz,122
Houston Rockets,74,Atlanta Hawks,76
Los Angeles Clippers,96,Charlotte Hornets,114
New Jersey Nets,84,Detroit Pistons,98
Vancouver Grizzlies,91,Los Angeles Lakers,99
Portland Trail Blazers,114,Miami Heat,110
Golden State Warriors,82,Minnesota Timberwolves,101
Denver Nuggets,86,Orlando Magic,99
Cleveland Cavaliers,88,Phoenix Suns,94
Milwaukee Bucks,93,San Antonio Spurs,98
New York Knicks,64,Seattle SuperSonics,84
Chicago Bulls,103,Washington Bullets,99
Charlotte Hornets,93,Atlanta Hawks,92
Golden State Warriors,87,Chicago Bulls,120
Toronto Raptors,99,Dallas Mavericks,92
Portland Trail Blazers,80,Philadelphia 76ers,97
San Antonio Spurs,85,Houston Rockets,95
Orlando Magic,99,Indiana Pacers,90
New York Knicks,127,Los Angeles Lakers,121
Denver Nuggets,86,Miami Heat,95
Los Angeles Clippers,99,Milwaukee Bucks,86
Boston Celtics,93,New Jersey Nets,109
Dallas Mavericks,88,Phoenix Suns,86
Seattle SuperSonics,89,Utah Jazz,87
Cleveland Cavaliers,91,Vancouver Grizzlies,84
Detroit Pistons,85,Washington Bullets,79
Golden State Warriors,100,Atlanta Hawks,106
Portland Trail Blazers,89,Chicago Bulls,116
Detroit Pistons,84,Orlando Magic,93
Charlotte Hornets,96,San Antonio Spurs,84
Seattle SuperSonics,72,Cleveland Cavaliers,66
Charlotte Hornets,84,Dallas Mavericks,86
Toronto Raptors,124,Denver Nuggets,122
Los Angeles Lakers,96,Houston Rockets,100
Philadelphia 76ers,93,Los Angeles Clippers,98
Sacramento Kings,90,New Jersey Nets,97
New York Knicks,99,Utah Jazz,110
Indiana Pacers,87,Washington Bullets,108
Sacramento Kings,111,Boston Celtics,105
Golden State Warriors,84,Detroit Pistons,117
Seattle SuperSonics,78,Indiana Pacers,92
Atlanta Hawks,79,Milwaukee Bucks,72
Miami Heat,86,Orlando Magic,98
Philadelphia 76ers,104,Phoenix Suns,111
New York Knicks,96,Portland Trail Blazers,95
Minnesota Timberwolves,108,San Antonio Spurs,89
Los Angeles Clippers,83,Vancouver Grizzlies,80
Chicago Bulls,70,Cleveland Cavaliers,73
Minnesota Timberwolves,107,Dallas Mavericks,105
Charlotte Hornets,106,Houston Rockets,95
Toronto Raptors,114,Utah Jazz,118
Los Angeles Lakers,122,Washington Bullets,107
Los Angeles Lakers,75,Atlanta Hawks,86
Detroit Pistons,106,Boston Celtics,100
Sacramento Kings,108,Chicago Bulls,126
New York Knicks,112,Denver Nuggets,108
Milwaukee Bucks,85,Indiana Pacers,104
Toronto Raptors,92,Los Angeles Clippers,94
Seattle SuperSonics,96,Miami Heat,95
Golden State Warriors,117,New Jersey Nets,108
San Antonio Spurs,73,Orlando Magic,94
Utah Jazz,105,Portland Trail Blazers,115
Philadelphia 76ers,104,Vancouver Grizzlies,100
