Team1,Team1Score,Team2,Team2Score
Boston Celtics,81,Cleveland Cavaliers,99
Dallas Mavericks,80,Houston Rockets,89
Sacramento Kings,103,Milwaukee Bucks,92
Golden State Warriors,108,Washington Bullets,118
Phoenix Suns,109,Dallas Mavericks,108
Los Angeles Clippers,107,Denver Nuggets,109
Atlanta Hawks,75,Detroit Pistons,82
Los Angeles Lakers,85,Indiana Pacers,101
San Antonio Spurs,72,Miami Heat,79
Charlotte Hornets,108,Minnesota Timberwolves,96
Cleveland Cavaliers,82,New York Knicks,90
Seattle SuperSonics,109,Orlando Magic,101
Philadelphia 76ers,95,Portland Trail Blazers,112
Utah Jazz,93,Vancouver Grizzlies,86
Milwaukee Bucks,90,Chicago Bulls,108
Utah Jazz,111,Golden State Warriors,104
New Jersey Nets,95,Sacramento Kings,108
Boston Celtics,107,Toronto Raptors,103
Cleveland Cavaliers,88,Atlanta Hawks,93
San Antonio Spurs,98,Charlotte Hornets,105
Los Angeles Lakers,102,Dallas Mavericks,92
Miami Heat,108,Detroit Pistons,99
Boston Celtics,95,Indiana Pacers,98
Houston Rockets,113,Los Angeles Clippers,109
Milwaukee Bucks,86,New York Knicks,93
Washington Bullets,107,Philadelphia 76ers,106
New Jersey Nets,118,Portland Trail Blazers,123
Orlando Magic,101,Seattle SuperSonics,89
San Antonio Spurs,69,Chicago Bulls,111
Indiana Pacers,78,Cleveland Cavaliers,85
Houston Rockets,90,Golden State Warriors,85
Detroit Pistons,92,Minnesota Timberwolves,88
Portland Trail Blazers,121,Phoenix Suns,99
Denver Nuggets,100,Sacramento Kings,105
New York Knicks,100,Toronto Raptors,94
Dallas Mavericks,65,Utah Jazz,96
Boston Celtics,121,Charlotte Hornets,122
Orlando Magic,94,Los Angeles Clippers,93
Washington Bullets,99,Miami Heat,95
Atlanta Hawks,117,Philadelphia 76ers,104
New Jersey Nets,102,Vancouver Grizzlies,96
Milwaukee Bucks,80,Atlanta Hawks,90
New York Knicks,113,Boston Celtics,102
Indiana Pacers,96,Chicago Bulls,104
Orlando Magic,101,Golden State Warriors,108
Houston Rockets,111,Los Angeles Lakers,90
Denver Nuggets,83,Minnesota Timberwolves,96
Sacramento Kings,87,Phoenix Suns,104
Dallas Mavericks,69,Portland Trail Blazers,80
