Team1,Team1Score,Team2,Team2Score
Seattle SuperSonics,122,Phoenix Suns,115
Miami Heat,91,Orlando Magic,99
Los Angeles Lakers,95,Portland Trail Blazers,91
Atlanta Hawks,94,Detroit Pistons,82
Phoenix Suns,92,Seattle SuperSonics,116
Detroit Pistons,79,Atlanta Hawks,84
Orlando Magic,83,Miami Heat,91
Los Angeles Lakers,77,Utah Jazz,93
Seattle SuperSonics,102,Houston Rockets,112
Atlanta Hawks,97,Chicago Bulls,100
Los Angeles Lakers,101,Utah Jazz,103
Seattle SuperSonics,106,Houston Rockets,101
New York Knicks,88,Miami Heat,79
Atlanta Hawks,103,Chicago Bulls,95
Utah Jazz,84,Los Angeles Lakers,104
New York Knicks,84,Miami Heat,88
Houston Rockets,97,Seattle SuperSonics,93
Chicago Bulls,100,Atlanta Hawks,80
Utah Jazz,110,Los Angeles Lakers,95
Houston Rockets,110,Seattle SuperSonics,106
Chicago Bulls,89,Atlanta Hawks,80
Miami Heat,73,New York Knicks,77
Miami Heat,76,New York Knicks,89
Los Angeles Lakers,93,Utah Jazz,98
Atlanta Hawks,92,Chicago Bulls,107
Seattle SuperSonics,100,Houston Rockets,94
New York Knicks,81,Miami Heat,96
Houston Rockets,96,Seattle SuperSonics,99
Miami Heat,95,New York Knicks,90
Seattle SuperSonics,91,Houston Rockets,96
New York Knicks,90,Miami Heat,101
Houston Rockets,86,Utah Jazz,101
Miami Heat,77,Chicago Bulls,84
Houston Rockets,92,Utah Jazz,104
Miami Heat,68,Chicago Bulls,75
Utah Jazz,100,Houston Rockets,118
Chicago Bulls,98,Miami Heat,74
Utah Jazz,92,Houston Rockets,95
Chicago Bulls,80,Miami Heat,87
Houston Rockets,91,Utah Jazz,96
Miami Heat,87,Chicago Bulls,100
Utah Jazz,103,Houston Rockets,100
