Team1,Team1Score,Team2,Team2Score
Chicago Bulls,107,Boston Celtics,98
Dallas Mavericks,92,Denver Nuggets,91
Indiana Pacers,89,Detroit Pistons,95
Los Angeles Clippers,97,Golden State Warriors,85
Sacramento Kings,85,Houston Rockets,96
Phoenix Suns,82,Los Angeles Lakers,96
Atlanta Hawks,81,Miami Heat,94
San Antonio Spurs,78,Minnesota Timberwolves,82
Cleveland Cavaliers,90,New Jersey Nets,77
Washington Bullets,96,Orlando Magic,92
Milwaukee Bucks,111,Philadelphia 76ers,103
New York Knicks,107,Toronto Raptors,99
Seattle SuperSonics,91,Utah Jazz,99
Portland Trail Blazers,114,Vancouver Grizzlies,85
Detroit Pistons,90,Atlanta Hawks,78
Toronto Raptors,98,Charlotte Hornets,109
Philadelphia 76ers,86,Chicago Bulls,115
Sacramento Kings,107,Dallas Mavericks,94
Miami Heat,97,Indiana Pacers,95
Utah Jazz,95,Los Angeles Clippers,90
Boston Celtics,102,Milwaukee Bucks,124
Houston Rockets,110,Phoenix Suns,95
Portland Trail Blazers,93,Seattle SuperSonics,104
Cleveland Cavaliers,98,Washington Bullets,96
Minnesota Timberwolves,85,Los Angeles Lakers,91
Charlotte Hornets,86,New York Knicks,113
Denver Nuggets,88,San Antonio Spurs,79
Golden State Warriors,105,Vancouver Grizzlies,95
Atlanta Hawks,94,Portland Trail Blazers,76
Houston Rockets,75,Utah Jazz,72
Vancouver Grizzlies,73,Chicago Bulls,96
San Antonio Spurs,74,Cleveland Cavaliers,68
Los Angeles Clippers,82,Denver Nuggets,78
Portland Trail Blazers,111,Golden State Warriors,93
Los Angeles Lakers,98,New York Knicks,92
Detroit Pistons,83,Philadelphia 76ers,81
Minnesota Timberwolves,98,Phoenix Suns,95
Houston Rockets,102,Sacramento Kings,80
Atlanta Hawks,117,Seattle SuperSonics,95
Dallas Mavericks,96,Toronto Raptors,100
Indiana Pacers,84,Boston Celtics,94
Los Angeles Lakers,78,Charlotte Hornets,88
Dallas Mavericks,84,Detroit Pistons,103
Chicago Bulls,106,Miami Heat,100
Vancouver Grizzlies,89,Milwaukee Bucks,105
San Antonio Spurs,86,Washington Bullets,96
Houston Rockets,110,Denver Nuggets,108
New York Knicks,105,Golden State Warriors,100
Orlando Magic,108,New Jersey Nets,95
Seattle SuperSonics,103,Phoenix Suns,98
Minnesota Timberwolves,94,Portland Trail Blazers,95
Atlanta Hawks,91,Sacramento Kings,87
Philadelphia 76ers,115,Boston Celtics,105
Vancouver Grizzlies,72,Cleveland Cavaliers,88
Golden State Warriors,91,Denver Nuggets,94
Chicago Bulls,98,Detroit Pistons,80
New York Knicks,88,Los Angeles Clippers,81
Milwaukee Bucks,89,Miami Heat,101
New Jersey Nets,82,Orlando Magic,86
Seattle SuperSonics,87,San Antonio Spurs,75
Los Angeles Lakers,92,Toronto Raptors,93
Charlotte Hornets,102,Washington Bullets,87
Milwaukee Bucks,100,Charlotte Hornets,98
Boston Celtics,92,Chicago Bulls,104
Miami Heat,91,Dallas Mavericks,84
Utah Jazz,85,Houston Rockets,91
Washington Bullets,100,Indiana Pacers,103
Phoenix Suns,95,Philadelphia 76ers,112
Portland Trail Blazers,102,Sacramento Kings,103
