Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Atlanta Hawks,104,Chicago Bulls,106,0,106.3,103.6,2.7,69.0,1.72,19.6,26.0,75.2,51.3,15.9,52.3,55.8,97.62,52.2,107.4,94.1,13.2,61.4,1.8,18.2,26.0,77.3,53.0,13.8,51.5,55.4,100.29,57.6
Orlando Magic,111,Brooklyn Nets,121,0,105.2,118.0,-12.8,63.4,1.77,18.1,23.2,74.0,48.1,13.9,50.4,54.5,99.75,44.1,102.9,105.0,-2.1,60.8,1.51,17.1,21.1,75.3,48.8,14.9,50.0,55.0,103.29,50.1
Sacramento Kings,123,Minnesota Timberwolves,117,1,111.9,109.7,2.2,61.3,1.73,18.9,23.8,72.5,50.1,14.8,55.9,59.8,99.5,52.4,112.0,117.4,-5.4,62.0,1.97,18.4,30.8,72.2,50.9,13.1,50.4,55.6,97.06,48.2
Phoenix Suns,117,Portland Trail Blazers,130,0,112.9,115.6,-2.7,49.8,1.51,15.1,35.6,68.6,52.0,13.9,49.7,54.4,102.42,49.4,110.6,109.1,1.5,48.9,1.7,14.7,27.2,70.4,48.0,11.5,50.4,54.6,94.21,49.0
Boston Celtics,110,New York Knicks,94,1,112.4,109.0,3.4,70.9,2.3,20.4,23.1,72.5,48.3,12.4,53.9,57.4,98.5,52.2,107.6,113.3,-5.7,56.3,1.63,16.6,33.9,71.8,51.2,14.4,48.5,51.8,92.58,46.8
Charlotte Hornets,113,Oklahoma City Thunder,101,1,105.3,113.8,-8.4,56.1,1.68,16.1,21.4,75.2,47.2,12.6,48.5,53.9,94.0,45.5,105.8,106.6,-0.8,52.2,1.4,14.9,33.9,78.0,54.6,14.8,48.0,51.9,97.5,47.8
Memphis Grizzlies,103,Los Angeles Lakers,108,0,104.9,108.7,-3.8,62.6,1.57,18.2,27.7,68.3,48.7,15.8,52.0,54.9,89.94,49.2,105.4,104.3,1.0,54.9,1.51,16.6,28.9,75.6,50.7,15.0,50.0,53.1,98.43,48.1
Dallas Mavericks,109,Milwaukee Bucks,105,1,103.6,112.1,-8.5,64.3,1.82,18.2,22.8,70.0,45.8,13.6,50.4,53.7,94.79,45.3,97.5,106.6,-9.1,64.4,1.4,17.9,22.0,72.3,47.6,17.1,50.0,53.1,93.25,43.9
Utah Jazz,103,San Antonio Spurs,109,0,113.9,110.4,3.6,61.3,1.8,19.1,28.5,72.9,51.3,14.9,55.8,58.1,91.17,52.3,104.3,104.0,0.3,58.5,1.63,17.2,26.9,74.1,50.4,14.5,50.5,53.2,92.2,50.1
Atlanta Hawks,82,Brooklyn Nets,91,0,106.3,103.6,2.7,69.0,1.72,19.6,26.0,75.2,51.3,15.9,52.3,55.8,97.62,52.2,102.9,105.0,-2.1,60.8,1.51,17.1,21.1,75.3,48.8,14.9,50.0,55.0,103.29,50.1
