Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Los Angeles Lakers,122,New Orleans Pelicans,114,1,100.0,99.0,1.0,65.6,1.31,15.2,25.5,81.4,50.0,15.5,45.7,52.4,102.5,53.7,103.0,103.9,-1.0,55.0,1.05,15.3,36.8,66.0,50.5,20.8,48.4,51.0,101.5,47.2
Portland Trail Blazers,130,Orlando Magic,107,1,123.9,118.4,5.5,55.1,1.59,18.0,25.0,67.9,48.5,15.0,61.0,66.1,102.79,53.5,123.1,113.5,9.6,67.4,2.21,21.5,23.3,78.0,52.7,13.5,59.2,64.4,104.0,57.1
Brooklyn Nets,129,Boston Celtics,120,1,113.5,123.1,-9.6,68.2,2.14,20.7,22.0,76.7,47.3,13.5,55.5,58.3,104.0,42.9,106.7,111.2,-4.5,48.6,1.13,12.9,28.1,78.7,51.0,15.2,46.7,52.9,106.0,41.5
Washington Wizards,126,Sacramento Kings,133,0,103.7,115.7,-12.0,42.9,1.0,13.0,24.5,81.6,49.4,16.7,50.5,55.4,108.0,38.4,111.1,120.6,-9.4,47.8,1.22,15.2,30.6,77.8,53.2,16.7,54.7,57.8,107.5,43.0
Memphis Grizzlies,118,Brooklyn Nets,79,1,118.4,123.9,-5.5,59.5,1.92,16.0,32.1,75.0,51.5,11.4,52.2,58.7,102.79,46.5,113.5,123.1,-9.6,68.2,2.14,20.7,22.0,76.7,47.3,13.5,55.5,58.3,104.0,42.9
New Orleans Pelicans,123,Dallas Mavericks,127,0,103.0,103.9,-1.0,55.0,1.05,15.3,36.8,66.0,50.5,20.8,48.4,51.0,101.5,47.2,125.2,128.6,-3.4,60.0,1.5,17.6,35.5,83.0,57.4,16.8,57.6,61.2,107.77,45.7
Washington Wizards,104,Portland Trail Blazers,125,0,103.7,115.7,-12.0,42.9,1.0,13.0,24.5,81.6,49.4,16.7,50.5,55.4,108.0,38.4,123.9,118.4,5.5,55.1,1.59,18.0,25.0,67.9,48.5,15.0,61.0,66.1,102.79,53.5
San Antonio Spurs,120,Brooklyn Nets,139,0,120.6,111.1,9.4,66.7,2.13,21.5,22.2,69.4,46.8,14.0,59.4,63.3,107.5,57.0,113.5,123.1,-9.6,68.2,2.14,20.7,22.0,76.7,47.3,13.5,55.5,58.3,104.0,42.9
Utah Jazz,99,Boston Celtics,94,1,103.9,103.0,1.0,45.9,0.85,12.5,34.0,63.2,49.5,19.6,48.8,55.0,101.5,52.8,106.7,111.2,-4.5,48.6,1.13,12.9,28.1,78.7,51.0,15.2,46.7,52.9,106.0,41.5
Memphis Grizzlies,96,Dallas Mavericks,121,0,118.4,123.9,-5.5,59.5,1.92,16.0,32.1,75.0,51.5,11.4,52.2,58.7,102.79,46.5,125.2,128.6,-3.4,60.0,1.5,17.6,35.5,83.0,57.4,16.8,57.6,61.2,107.77,45.7
