Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Boston Celtics,106,Chicago Bulls,111,0,105.4,116.3,-10.9,62.8,1.52,17.5,33.6,65.0,48.2,16.3,48.4,52.6,97.48,42.0,110.8,105.9,4.9,65.7,1.85,19.8,32.5,67.7,50.5,15.3,53.1,56.0,92.55,54.0
New York Knicks,94,Cleveland Cavaliers,88,1,104.4,106.3,-1.9,68.9,1.35,18.3,31.1,72.9,53.1,18.8,50.8,56.7,90.51,51.0,105.0,103.6,1.5,64.7,1.46,17.6,32.3,69.8,50.5,17.0,49.7,54.3,85.03,50.7
Detroit Pistons,100,Dallas Mavericks,82,1,109.0,109.5,-0.6,53.1,1.54,16.0,31.2,62.3,47.4,14.1,51.3,55.4,85.28,50.3,96.8,104.2,-7.3,54.3,1.17,14.6,32.7,66.6,48.6,17.1,45.0,48.9,90.69,42.3
Houston Rockets,116,Denver Nuggets,99,1,112.3,105.0,7.3,58.9,1.53,17.1,32.4,68.8,51.3,15.6,52.5,56.9,94.15,53.4,99.4,112.8,-13.3,60.8,1.37,16.6,30.2,64.8,47.5,16.8,47.5,50.9,95.23,42.3
Washington Bullets,104,Indiana Pacers,100,1,112.6,105.8,6.8,61.9,1.97,19.2,34.5,67.2,51.9,14.0,52.4,56.2,92.73,57.0,105.6,107.6,-1.9,60.3,1.39,16.6,34.5,67.1,50.5,16.7,48.4,53.4,90.33,48.6
Los Angeles Clippers,87,Miami Heat,97,0,109.1,111.8,-2.7,60.8,1.72,18.1,31.5,65.6,47.7,14.8,52.3,55.1,96.45,49.1,107.3,101.2,6.0,63.4,1.37,17.8,34.0,65.7,50.1,18.3,52.3,55.9,87.41,53.8
Philadelphia 76ers,105,Orlando Magic,93,1,105.9,116.7,-10.8,55.3,1.31,15.4,34.7,59.1,46.8,16.4,48.1,52.5,101.46,42.9,103.3,102.4,0.9,61.6,1.44,16.2,31.7,64.2,47.8,15.6,45.8,51.7,91.82,51.4
Golden State Warriors,91,Portland Trail Blazers,82,1,105.8,107.0,-1.2,56.8,1.32,15.9,38.7,68.4,52.8,17.1,47.5,52.0,93.86,46.8,104.8,94.0,10.7,56.4,1.4,16.1,35.5,74.5,55.1,16.2,48.3,52.7,93.28,58.2
Los Angeles Lakers,99,Seattle SuperSonics,97,1,109.2,101.1,8.1,60.8,1.44,17.2,34.5,64.8,49.9,16.8,51.6,56.0,92.95,55.3,108.9,102.9,6.0,58.2,1.41,16.4,34.1,63.1,49.4,16.2,49.6,55.0,92.45,54.7
Milwaukee Bucks,102,Vancouver Grizzlies,91,1,108.7,109.8,-1.1,55.7,1.35,16.8,30.0,62.5,47.0,16.8,52.9,57.4,93.36,48.0,103.4,114.6,-11.2,69.2,1.46,18.9,35.1,69.0,51.6,18.6,49.8,52.9,88.44,43.9
