Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Boston Celtics,81,Cleveland Cavaliers,99,0,104.9,113.0,-8.0,59.5,1.4,16.0,33.5,64.9,48.2,15.9,47.1,52.2,95.84,43.1,97.7,102.8,-5.1,60.4,1.34,16.2,28.6,65.7,46.2,16.6,46.6,50.4,83.39,45.6
Dallas Mavericks,80,Houston Rockets,89,0,95.7,105.0,-9.4,57.8,1.18,15.2,34.2,64.4,49.0,17.9,44.1,48.5,87.49,43.0,108.1,100.9,7.2,70.5,1.82,20.7,28.8,69.8,50.7,16.1,53.1,56.7,92.36,56.2
Sacramento Kings,103,Milwaukee Bucks,92,1,103.2,108.0,-4.8,58.5,1.12,16.2,34.4,65.9,50.4,20.0,50.2,54.7,91.93,46.1,101.9,110.2,-8.3,56.0,1.24,16.0,32.2,67.8,49.4,17.6,48.2,52.5,91.3,42.1
Golden State Warriors,108,Washington Bullets,118,0,105.9,113.0,-7.1,59.5,1.13,16.4,35.7,67.5,51.6,20.2,50.5,55.8,92.04,44.2,108.2,101.7,6.5,57.8,1.36,17.3,36.6,67.8,52.6,17.9,52.0,55.5,93.29,56.3
Phoenix Suns,109,Dallas Mavericks,108,1,113.8,106.2,7.6,70.6,2.0,20.4,28.1,66.9,48.2,14.4,53.7,58.5,95.18,55.0,95.7,105.0,-9.4,57.8,1.18,15.2,34.2,64.4,49.0,17.9,44.1,48.5,87.49,43.0
Los Angeles Clippers,107,Denver Nuggets,109,0,105.9,109.9,-4.0,55.8,1.53,15.9,33.1,65.9,48.6,14.4,48.2,52.6,92.91,47.6,105.0,113.3,-8.3,61.6,1.36,16.4,29.2,68.4,48.3,16.6,49.3,54.0,93.63,43.2
Atlanta Hawks,75,Detroit Pistons,82,0,107.1,100.3,6.8,59.8,1.27,16.3,34.1,69.1,52.0,17.7,50.7,55.9,88.95,55.9,106.8,105.5,1.3,57.0,1.64,16.5,26.0,70.6,48.3,13.4,50.7,54.9,87.23,50.1
Los Angeles Lakers,85,Indiana Pacers,101,0,106.0,102.4,3.6,57.6,1.51,15.7,35.4,64.1,49.5,14.5,47.5,52.1,92.34,52.4,110.3,107.9,2.4,64.7,1.5,18.5,35.7,66.7,51.4,17.6,52.7,56.5,89.25,49.7
San Antonio Spurs,72,Miami Heat,79,0,103.6,113.1,-9.5,55.9,1.3,15.9,34.8,64.3,49.4,17.0,47.8,52.2,88.92,43.9,106.5,101.0,5.4,62.4,1.54,17.4,30.4,69.3,49.3,15.6,50.7,54.4,89.03,52.6
Charlotte Hornets,108,Minnesota Timberwolves,96,1,109.5,106.5,3.0,70.0,1.8,19.9,27.1,68.0,49.0,15.4,53.7,58.2,88.96,54.6,107.8,111.2,-3.4,67.8,1.93,19.2,31.0,67.8,49.3,14.0,50.1,54.7,92.13,50.2
