TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Atlanta Hawks,3,3,0,144.0,112.2,104.5,7.7,56.3,1.21,16.2,32.0,72.2,53.5,18.1,52.6,59.3,95.67,55.7
Los Angeles Lakers,3,3,0,144.0,112.1,101.0,11.1,53.6,1.56,16.0,36.0,67.3,51.6,14.5,49.6,53.7,98.83,55.0
Miami Heat,4,3,1,192.0,103.6,90.0,13.6,58.9,1.43,15.9,26.0,69.0,49.1,14.7,49.5,54.6,90.00,61.2
New Orleans Hornets,3,3,0,144.0,104.2,97.5,6.7,59.5,1.65,17.7,19.4,75.9,48.9,14.1,51.1,55.7,94.33,56.2
Portland Trail Blazers,3,3,0,144.0,110.1,99.3,10.9,60.3,1.59,17.4,39.7,66.7,53.2,15.9,49.8,53.0,92.17,58.6
Boston Celtics,3,2,1,144.0,98.6,97.9,0.7,74.5,1.44,20.4,29.5,76.4,54.3,20.1,50.9,53.8,94.33,53.1
Dallas Mavericks,3,2,1,144.0,102.5,91.2,11.2,68.5,1.49,19.7,22.8,69.4,48.9,18.0,53.3,56.8,94.67,60.3
Denver Nuggets,3,2,1,144.0,106.1,96.3,9.9,55.8,1.21,14.8,29.7,74.5,51.4,16.3,47.5,54.6,98.00,53.4
Golden State Warriors,3,2,1,144.0,109.1,110.5,-1.4,64.6,1.75,19.9,32.4,61.9,48.2,16.2,54.8,56.5,98.67,51.4
Indiana Pacers,3,2,1,144.0,107.6,106.2,1.4,55.3,1.21,15.9,32.9,68.6,50.5,17.9,51.8,55.7,96.83,49.5
Memphis Grizzlies,3,2,1,144.0,99.7,98.7,1.0,50.0,1.27,14.2,27.1,70.4,47.8,14.8,47.1,51.7,101.17,50.2
New Jersey Nets,3,2,1,144.0,104.0,107.6,-3.5,50.5,0.94,13.7,34.6,72.8,54.4,19.7,48.0,53.5,92.00,44.8
Oklahoma City Thunder,3,2,1,144.0,104.7,107.4,-2.7,44.3,1.13,11.3,30.5,66.2,48.3,12.8,42.2,52.0,98.83,50.1
Sacramento Kings,3,2,1,144.0,110.2,110.9,-0.7,59.3,1.75,17.2,31.0,68.5,48.1,13.6,49.8,54.4,98.00,49.7
Chicago Bulls,2,1,1,96.0,97.5,99.5,-2.0,49.4,1.23,13.8,36.6,71.4,53.5,15.4,45.0,48.4,99.75,49.2
Cleveland Cavaliers,3,1,2,144.0,100.7,106.1,-5.4,57.0,1.30,16.1,29.5,68.3,47.1,16.9,48.0,51.6,92.67,43.2
Milwaukee Bucks,3,1,2,144.0,97.2,98.6,-1.4,53.1,1.16,13.9,25.2,73.8,49.0,15.6,45.5,50.7,94.17,47.1
Minnesota Timberwolves,3,1,2,144.0,96.2,99.7,-3.5,47.2,0.82,11.8,37.5,75.0,56.0,19.5,43.8,49.0,104.17,45.3
New York Knicks,3,1,2,144.0,100.0,101.0,-1.0,46.4,1.21,13.4,27.3,67.5,47.0,14.6,47.3,50.5,98.17,47.2
Orlando Magic,2,1,1,96.0,97.8,97.3,0.6,39.1,0.68,10.5,31.9,76.2,54.9,19.9,47.9,52.0,92.50,51.5
Phoenix Suns,3,1,2,144.0,110.0,111.7,-1.7,47.9,1.27,15.0,29.2,61.7,46.4,15.7,53.0,56.1,93.50,47.6
San Antonio Spurs,2,1,1,96.0,107.6,105.6,2.0,70.7,1.89,19.3,26.0,74.4,47.7,14.2,49.1,54.9,98.50,52.5
Toronto Raptors,2,1,1,96.0,100.5,93.2,7.3,58.7,1.42,16.2,37.3,73.1,55.3,16.1,45.2,49.9,96.25,58.8
Utah Jazz,3,1,2,144.0,101.0,107.0,-6.0,67.3,1.33,17.5,28.6,72.9,50.5,18.1,47.9,53.7,99.50,48.7
Charlotte Bobcats,3,0,3,144.0,100.7,111.0,-10.3,57.8,0.93,14.5,28.6,70.7,49.4,20.5,47.8,55.6,91.00,42.1
Detroit Pistons,3,0,3,144.0,103.2,108.1,-4.9,47.2,1.21,13.3,32.5,63.2,47.6,14.8,47.4,51.0,94.67,43.9
Houston Rockets,3,0,3,144.0,109.2,114.3,-5.1,58.6,1.39,16.2,34.0,66.5,50.6,16.1,47.7,54.7,101.83,48.4
Los Angeles Clippers,3,0,3,144.0,93.6,109.3,-15.7,57.6,1.08,13.6,34.5,66.4,49.4,17.5,40.6,46.0,93.33,38.1
Philadelphia 76ers,3,0,3,144.0,96.8,105.3,-8.4,57.0,1.30,15.8,28.5,69.2,47.5,16.6,46.4,49.6,94.67,44.3
Washington Wizards,2,0,2,96.0,93.7,110.5,-16.8,49.3,1.06,13.8,19.1,59.3,38.9,16.3,46.1,50.4,95.25,39.4
