TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
San Antonio Spurs,16,14,2,768.0,112.6,92.9,19.7,62.5,1.86,19.6,27.9,77.4,54.5,14.7,55.1,58.6,93.81,62.9
Oklahoma City Thunder,15,12,3,725.0,113.5,102.7,10.8,53.5,1.53,16.5,33.8,69.8,53.2,14.9,52.7,57.3,94.64,58.6
Golden State Warriors,13,11,2,634.0,110.2,102.6,7.6,66.8,1.72,19.3,27.5,71.1,50.6,15.6,54.0,57.3,100.58,56.0
LA Clippers,16,11,5,773.0,105.7,102.8,2.8,63.9,1.75,18.0,25.5,70.9,48.4,14.1,51.0,54.6,96.03,52.5
Orlando Magic,15,10,5,720.0,106.6,102.8,3.8,57.1,1.59,17.7,27.0,74.0,50.6,15.2,52.5,55.4,93.93,52.0
Atlanta Hawks,14,9,5,672.0,105.3,103.4,1.9,63.6,1.72,18.6,23.6,68.9,46.4,14.7,51.3,55.1,96.50,51.9
Dallas Mavericks,14,9,5,682.0,108.8,105.5,3.3,57.9,1.74,17.1,24.6,74.6,49.5,13.2,52.0,55.8,95.30,51.6
Detroit Pistons,15,9,6,750.0,106.3,103.4,2.9,49.4,1.36,14.3,32.7,72.2,51.7,14.3,49.6,52.6,96.58,51.2
Houston Rockets,16,9,7,768.0,108.0,104.2,3.8,60.6,1.37,16.9,27.6,70.2,49.1,16.7,53.3,56.9,99.06,50.6
Toronto Raptors,15,9,6,725.0,105.4,103.1,2.3,50.7,1.50,14.5,26.9,75.7,51.2,12.8,48.7,53.5,93.32,51.6
Boston Celtics,14,8,6,682.0,104.2,100.4,3.8,61.2,1.70,17.4,25.7,72.4,49.3,14.0,49.4,53.3,99.06,51.7
Chicago Bulls,15,8,7,745.0,103.5,102.1,1.3,57.6,1.47,16.2,33.5,71.0,52.8,15.4,47.6,51.6,96.32,51.8
Cleveland Cavaliers,13,8,5,629.0,101.7,98.9,2.8,56.5,1.38,15.7,27.5,71.6,49.1,15.4,48.2,51.9,93.14,50.5
Memphis Grizzlies,16,8,8,773.0,103.6,106.2,-2.6,58.0,1.70,16.8,28.4,70.2,49.1,13.5,47.9,52.3,92.77,49.6
Miami Heat,15,8,7,730.0,104.9,106.1,-1.2,54.3,1.47,16.5,24.4,72.3,49.3,14.8,52.3,55.6,91.79,51.1
Washington Wizards,16,8,8,768.0,105.2,105.5,-0.3,62.5,1.73,18.4,24.2,72.0,47.9,14.4,51.9,55.2,98.31,49.6
Charlotte Hornets,14,7,7,677.0,104.6,103.2,1.4,61.2,1.62,16.6,25.6,76.3,50.5,13.8,48.9,53.5,97.10,50.1
Indiana Pacers,16,7,9,778.0,104.6,104.2,0.4,49.3,1.30,14.5,28.0,72.3,49.5,14.7,49.5,53.5,97.54,49.1
New York Knicks,15,7,8,720.0,104.6,105.6,-1.1,57.4,1.48,16.6,26.8,71.7,50.1,15.2,49.6,54.1,94.97,50.5
Portland Trail Blazers,17,7,10,821.0,107.0,108.1,-1.1,56.6,1.41,16.3,31.9,75.5,52.9,16.0,50.8,54.0,95.15,48.0
Denver Nuggets,15,6,9,725.0,106.4,109.9,-3.5,60.8,1.70,17.5,31.0,72.9,51.3,14.4,50.1,53.4,94.78,48.7
Milwaukee Bucks,16,6,10,768.0,102.3,107.4,-5.2,59.0,1.57,17.6,27.8,71.5,49.7,15.4,49.8,53.1,96.78,47.2
New Orleans Pelicans,15,6,9,730.0,105.2,107.1,-1.9,57.3,1.49,16.5,24.0,72.7,49.0,14.7,50.4,55.0,95.61,48.8
Utah Jazz,15,6,9,730.0,106.0,108.2,-2.2,50.3,1.21,14.1,31.1,72.8,51.5,15.8,49.2,53.6,91.56,47.0
Brooklyn Nets,15,5,10,725.0,102.1,108.0,-5.9,58.3,1.52,17.2,28.6,74.0,50.7,15.5,49.3,52.5,95.83,46.4
Sacramento Kings,13,5,8,624.0,101.8,105.0,-3.2,64.8,1.44,18.0,25.9,71.9,49.4,17.1,50.4,53.9,100.73,49.2
Los Angeles Lakers,17,4,13,821.0,99.0,111.0,-12.1,51.3,1.32,14.2,27.9,68.8,47.3,14.4,46.2,49.9,96.96,40.4
Minnesota Timberwolves,16,4,12,778.0,102.4,108.1,-5.7,61.6,1.51,17.1,27.5,70.0,48.4,15.4,47.8,53.1,95.51,47.2
Phoenix Suns,18,4,14,869.0,101.8,108.0,-6.2,55.7,1.23,16.0,27.6,70.3,48.5,17.4,50.5,53.8,97.38,45.6
Philadelphia 76ers,16,3,13,768.0,96.3,107.9,-11.6,55.2,1.05,14.7,27.3,71.8,48.7,18.6,48.0,51.3,98.22,41.2
