TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Cleveland Cavaliers,11,9,2,533.0,119.3,112.4,6.9,59.5,1.89,19.0,24.0,71.6,50.0,13.7,59.9,63.0,97.13,54.4
Golden State Warriors,12,9,3,581.0,116.1,106.4,9.7,71.0,2.31,21.3,25.7,69.1,48.2,13.0,56.0,59.8,101.00,56.6
Boston Celtics,12,8,4,576.0,109.8,108.5,1.3,61.5,1.62,17.4,23.3,70.9,47.6,14.4,52.8,57.5,97.25,50.3
Detroit Pistons,12,8,4,586.0,106.7,103.8,2.9,54.0,1.73,16.3,29.7,78.6,53.0,12.9,49.5,52.7,97.15,50.9
Miami Heat,11,8,3,528.0,113.4,104.5,8.9,54.0,1.44,16.7,31.3,74.1,53.2,16.1,54.5,57.6,97.27,53.4
San Antonio Spurs,10,8,2,480.0,108.7,97.8,10.8,60.5,1.61,17.6,31.6,74.4,53.5,15.3,50.9,55.0,96.05,58.2
Memphis Grizzlies,11,7,4,528.0,111.6,106.6,5.0,58.7,1.63,16.7,31.4,70.8,51.0,14.1,50.6,55.8,94.68,52.4
Oklahoma City Thunder,11,7,4,528.0,109.7,110.1,-0.5,49.8,1.36,14.5,37.1,76.5,55.7,14.8,48.9,52.9,98.73,49.1
Utah Jazz,11,7,4,533.0,111.8,103.2,8.6,54.1,1.50,16.4,28.7,79.4,54.0,14.9,53.6,57.3,93.66,55.2
Washington Wizards,10,7,3,490.0,110.9,106.3,4.6,59.2,1.66,17.5,28.7,69.5,49.0,14.5,52.6,56.7,99.72,52.2
Chicago Bulls,11,6,5,538.0,110.9,113.7,-2.8,60.9,2.11,18.6,28.3,74.9,50.6,12.2,51.6,55.2,96.13,49.3
Dallas Mavericks,11,6,5,533.0,106.5,104.0,2.5,56.6,1.83,16.9,19.9,72.6,46.3,12.2,52.1,55.8,93.93,51.1
Denver Nuggets,13,6,7,624.0,112.3,113.1,-0.8,64.3,1.73,18.9,32.4,76.8,53.3,15.6,53.6,56.6,99.77,48.1
Houston Rockets,9,6,3,437.0,115.5,106.3,9.2,62.9,1.91,17.6,27.2,69.4,47.5,12.7,53.1,57.7,102.92,51.3
Indiana Pacers,13,6,7,624.0,108.8,110.3,-1.5,60.5,1.78,18.0,26.2,72.1,49.7,13.7,51.7,55.9,95.27,50.1
LA Clippers,11,6,5,533.0,111.1,110.0,1.0,56.3,1.80,16.8,25.9,71.5,48.7,12.7,52.2,56.1,97.58,50.6
Sacramento Kings,11,6,5,533.0,103.9,105.4,-1.5,62.5,1.44,18.1,24.2,77.0,51.2,17.0,52.1,55.7,96.32,49.7
Toronto Raptors,11,6,5,528.0,109.3,108.3,1.1,44.7,1.31,13.9,28.1,73.3,50.9,13.9,52.0,56.0,93.45,49.4
Atlanta Hawks,11,5,6,533.0,102.7,105.7,-2.9,56.5,1.37,15.9,24.9,73.0,49.9,15.4,49.5,53.9,98.48,49.9
Milwaukee Bucks,11,5,6,528.0,111.7,112.0,-0.3,61.6,1.73,18.9,21.4,70.1,46.6,14.7,56.1,59.9,96.18,50.8
Minnesota Timberwolves,12,5,7,576.0,112.8,114.0,-1.2,59.0,1.89,18.1,31.0,68.6,50.0,13.4,52.3,56.5,96.00,51.5
New Orleans Pelicans,11,4,7,528.0,102.1,110.4,-8.3,54.7,1.30,15.9,20.7,71.1,46.7,15.9,51.0,55.0,99.27,46.0
Philadelphia 76ers,12,4,8,576.0,102.9,108.9,-6.0,60.4,1.46,16.6,25.4,71.0,47.3,15.3,48.7,53.3,102.29,46.4
Charlotte Hornets,11,3,8,538.0,103.9,107.8,-3.9,61.7,1.81,17.2,19.6,75.3,47.7,12.5,49.7,54.5,97.43,49.2
New York Knicks,10,3,7,480.0,107.5,112.6,-5.1,55.2,1.57,16.6,29.4,66.3,48.1,14.5,51.4,54.4,97.50,48.8
Orlando Magic,10,3,7,480.0,99.0,108.3,-9.3,56.1,1.31,15.3,25.5,72.2,48.7,15.4,47.1,52.0,98.55,45.0
Phoenix Suns,12,3,9,581.0,108.1,113.2,-5.0,53.5,1.38,15.6,31.1,74.5,51.7,15.4,49.5,54.3,100.92,46.0
Los Angeles Lakers,10,2,8,480.0,103.0,112.1,-9.0,52.9,1.34,15.2,27.1,72.5,48.5,15.2,49.6,53.0,102.05,42.2
Portland Trail Blazers,9,2,7,442.0,107.6,113.1,-5.5,48.7,1.18,14.2,30.5,73.6,52.1,16.1,51.2,55.1,96.05,46.0
Brooklyn Nets,10,0,10,485.0,100.0,108.4,-8.4,60.1,1.22,16.4,25.0,71.3,48.7,18.0,49.9,53.8,102.04,44.1
