TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Houston Rockets,1,1,0,53.0,128.6,125.2,3.4,50.0,2.89,16.9,17.0,64.5,42.6,7.6,60.9,64.7,107.77,54.3
Los Angeles Lakers,1,1,0,48.0,100.0,99.0,1.0,65.6,1.31,15.2,25.5,81.4,50.0,15.5,45.7,52.4,102.50,53.7
Milwaukee Bucks,1,1,0,48.0,111.2,106.7,4.5,64.1,1.67,17.9,21.3,71.9,49.0,14.0,54.2,60.1,106.00,58.5
Orlando Magic,1,1,0,48.0,123.1,113.5,9.6,67.4,2.21,21.5,23.3,78.0,52.7,13.5,59.2,64.4,104.00,57.1
Phoenix Suns,1,1,0,48.0,115.7,103.7,12.0,69.0,1.61,20.3,18.4,75.5,50.6,16.7,59.4,66.4,108.00,61.6
Portland Trail Blazers,1,1,0,53.0,123.9,118.4,5.5,55.1,1.59,18.0,25.0,67.9,48.5,15.0,61.0,66.1,102.79,53.5
San Antonio Spurs,1,1,0,48.0,120.6,111.1,9.4,66.7,2.13,21.5,22.2,69.4,46.8,14.0,59.4,63.3,107.50,57.0
Utah Jazz,1,1,0,48.0,103.9,103.0,1.0,45.9,0.85,12.5,34.0,63.2,49.5,19.6,48.8,55.0,101.50,52.8
Boston Celtics,1,0,1,48.0,106.7,111.2,-4.5,48.6,1.13,12.9,28.1,78.7,51.0,15.2,46.7,52.9,106.00,41.5
Brooklyn Nets,1,0,1,48.0,113.5,123.1,-9.6,68.2,2.14,20.7,22.0,76.7,47.3,13.5,55.5,58.3,104.00,42.9
Dallas Mavericks,1,0,1,53.0,125.2,128.6,-3.4,60.0,1.50,17.6,35.5,83.0,57.4,16.8,57.6,61.2,107.77,45.7
LA Clippers,1,0,1,48.0,99.0,100.0,-1.0,53.1,0.77,13.4,18.6,74.5,50.0,21.6,54.1,58.5,102.50,46.3
Memphis Grizzlies,1,0,1,53.0,118.4,123.9,-5.5,59.5,1.92,16.0,32.1,75.0,51.5,11.4,52.2,58.7,102.79,46.5
New Orleans Pelicans,1,0,1,48.0,103.0,103.9,-1.0,55.0,1.05,15.3,36.8,66.0,50.5,20.8,48.4,51.0,101.50,47.2
Sacramento Kings,1,0,1,48.0,111.1,120.6,-9.4,47.8,1.22,15.2,30.6,77.8,53.2,16.7,54.7,57.8,107.50,43.0
Washington Wizards,1,0,1,48.0,103.7,115.7,-12.0,42.9,1.00,13.0,24.5,81.6,49.4,16.7,50.5,55.4,108.00,38.4
