TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Utah Jazz,11,10,1,528.0,117.7,102.1,15.6,73.8,1.93,21.6,34.3,68.0,52.9,16.2,55.0,60.7,93.00,62.3
Charlotte Hornets,11,9,2,533.0,112.4,107.8,4.6,64.8,1.50,18.7,36.7,65.3,51.4,17.8,52.9,57.6,91.50,53.7
Houston Rockets,11,9,2,533.0,112.3,105.0,7.3,58.9,1.53,17.1,32.4,68.8,51.3,15.6,52.5,56.9,94.15,53.4
Los Angeles Lakers,11,8,3,528.0,109.2,101.1,8.1,60.8,1.44,17.2,34.5,64.8,49.9,16.8,51.6,56.0,92.95,55.3
Miami Heat,11,8,3,528.0,107.3,101.2,6.0,63.4,1.37,17.8,34.0,65.7,50.1,18.3,52.3,55.9,87.41,53.8
Washington Bullets,11,8,3,528.0,112.6,105.8,6.8,61.9,1.97,19.2,34.5,67.2,51.9,14.0,52.4,56.2,92.73,57.0
Chicago Bulls,11,7,4,528.0,110.8,105.9,4.9,65.7,1.85,19.8,32.5,67.7,50.5,15.3,53.1,56.0,92.55,54.0
Phoenix Suns,10,7,3,480.0,113.3,111.5,1.8,69.2,2.80,20.8,27.2,60.8,44.6,10.6,52.7,56.2,95.35,53.7
Seattle SuperSonics,10,7,3,480.0,108.9,102.9,6.0,58.2,1.41,16.4,34.1,63.1,49.4,16.2,49.6,55.0,92.45,54.7
Atlanta Hawks,10,6,4,480.0,109.9,103.1,6.7,60.3,1.42,17.0,31.7,65.9,49.0,16.6,51.7,56.3,92.35,53.6
New York Knicks,10,6,4,485.0,104.4,106.3,-1.9,68.9,1.35,18.3,31.1,72.9,53.1,18.8,50.8,56.7,90.51,51.0
Portland Trail Blazers,9,6,3,432.0,104.8,94.0,10.7,56.4,1.40,16.1,35.5,74.5,55.1,16.2,48.3,52.7,93.28,58.2
Cleveland Cavaliers,11,5,6,538.0,105.0,103.6,1.5,64.7,1.46,17.6,32.3,69.8,50.5,17.0,49.7,54.3,85.03,50.7
Detroit Pistons,11,5,6,533.0,109.0,109.5,-0.6,53.1,1.54,16.0,31.2,62.3,47.4,14.1,51.3,55.4,85.28,50.3
Golden State Warriors,11,5,6,538.0,105.8,107.0,-1.2,56.8,1.32,15.9,38.7,68.4,52.8,17.1,47.5,52.0,93.86,46.8
Los Angeles Clippers,11,5,6,528.0,109.1,111.8,-2.7,60.8,1.72,18.1,31.5,65.6,47.7,14.8,52.3,55.1,96.45,49.1
Milwaukee Bucks,11,5,6,528.0,108.7,109.8,-1.1,55.7,1.35,16.8,30.0,62.5,47.0,16.8,52.9,57.4,93.36,48.0
Minnesota Timberwolves,10,5,5,480.0,104.1,105.7,-1.6,65.5,1.45,18.4,31.1,67.2,49.6,17.8,49.9,54.3,90.50,47.1
Orlando Magic,11,5,6,528.0,103.3,102.4,0.9,61.6,1.44,16.2,31.7,64.2,47.8,15.6,45.8,51.7,91.82,51.4
Sacramento Kings,10,5,5,485.0,109.0,109.2,-0.2,66.3,1.72,18.8,32.6,63.3,47.8,15.5,51.0,55.2,95.41,49.8
Indiana Pacers,11,4,7,538.0,105.6,107.6,-1.9,60.3,1.39,16.6,34.5,67.1,50.5,16.7,48.4,53.4,90.33,48.6
Toronto Raptors,9,4,5,432.0,103.0,105.3,-2.4,58.4,1.48,16.0,35.4,68.7,50.6,15.3,45.6,50.0,94.00,47.0
New Jersey Nets,11,3,8,528.0,104.9,107.8,-2.9,59.1,1.36,16.1,41.1,72.3,55.8,17.3,46.8,50.5,92.77,46.9
Boston Celtics,10,2,8,485.0,105.4,116.3,-10.9,62.8,1.52,17.5,33.6,65.0,48.2,16.3,48.4,52.6,97.48,42.0
Dallas Mavericks,11,2,9,533.0,96.8,104.2,-7.3,54.3,1.17,14.6,32.7,66.6,48.6,17.1,45.0,48.9,90.69,42.3
Philadelphia 76ers,12,2,10,576.0,105.9,116.7,-10.8,55.3,1.31,15.4,34.7,59.1,46.8,16.4,48.1,52.5,101.46,42.9
San Antonio Spurs,11,2,9,528.0,103.3,113.0,-9.7,58.0,1.48,16.5,39.4,66.9,52.1,16.2,46.4,49.3,91.50,42.7
Vancouver Grizzlies,8,2,6,384.0,103.4,114.6,-11.2,69.2,1.46,18.9,35.1,69.0,51.6,18.6,49.8,52.9,88.44,43.9
Denver Nuggets,11,1,10,533.0,99.4,112.8,-13.3,60.8,1.37,16.6,30.2,64.8,47.5,16.8,47.5,50.9,95.23,42.3
