TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Chicago Bulls,15,12,3,725.0,111.0,101.5,9.5,61.9,1.95,18.1,38.2,65.1,51.3,13.6,49.4,53.0,90.59,56.5
New York Knicks,15,12,3,720.0,100.9,97.6,3.3,64.1,1.23,17.4,33.5,68.8,51.5,19.8,48.8,52.7,91.17,53.6
Detroit Pistons,15,11,4,725.0,110.5,100.2,10.3,52.5,1.56,15.9,32.4,68.8,50.6,13.9,52.2,55.7,85.11,54.8
Los Angeles Lakers,14,11,3,682.0,106.9,103.2,3.7,62.2,1.58,17.6,34.6,65.5,50.1,15.7,50.6,54.0,94.42,53.9
Miami Heat,14,11,3,677.0,104.1,96.9,7.2,54.7,1.13,14.7,35.4,67.3,51.5,17.9,48.1,52.6,85.93,52.8
Utah Jazz,16,11,5,773.0,109.8,101.0,8.9,70.6,1.67,20.4,31.0,69.0,51.0,17.3,52.9,57.8,90.63,57.9
Cleveland Cavaliers,15,10,5,720.0,109.3,101.6,7.8,68.8,1.67,19.5,33.7,66.8,50.6,16.7,52.5,56.9,84.60,56.5
Houston Rockets,14,9,5,672.0,107.0,104.2,2.8,68.8,1.52,19.2,31.1,67.1,50.4,17.8,52.3,56.2,91.05,53.4
Phoenix Suns,14,9,5,682.0,108.6,102.6,6.0,66.3,1.70,19.0,30.8,70.2,50.5,15.8,51.0,55.3,93.64,53.3
Charlotte Hornets,15,8,7,720.0,103.3,104.8,-1.5,63.3,1.48,17.8,34.0,64.0,49.1,17.1,48.4,52.2,88.89,49.0
Indiana Pacers,15,8,7,745.0,101.9,98.6,3.4,65.2,1.33,17.1,34.6,65.4,50.7,18.0,47.6,52.4,90.04,53.4
Sacramento Kings,15,8,7,725.0,102.2,102.0,0.2,56.9,1.38,15.8,36.6,67.8,51.7,16.1,46.2,50.7,92.46,49.2
Washington Bullets,14,8,6,672.0,105.7,102.1,3.6,64.8,1.63,19.1,31.7,66.5,49.2,16.7,51.2,54.3,93.43,54.0
Atlanta Hawks,11,7,4,528.0,109.2,100.6,8.6,54.0,1.33,15.4,34.2,64.6,50.0,16.0,50.5,54.9,89.23,55.2
Golden State Warriors,14,7,7,672.0,103.9,105.1,-1.2,60.7,1.22,16.1,36.6,63.9,50.2,18.5,47.9,53.4,93.58,48.3
Milwaukee Bucks,14,7,7,672.0,108.9,106.3,2.5,59.2,1.38,17.9,35.7,67.3,52.4,18.2,53.0,56.6,90.18,52.3
Seattle SuperSonics,15,7,8,720.0,110.5,103.6,6.8,65.0,1.51,18.1,37.4,67.8,52.6,17.2,51.8,56.3,91.64,55.3
Dallas Mavericks,13,6,7,629.0,101.8,108.0,-6.2,61.4,1.41,17.4,30.0,64.8,47.1,17.1,49.3,52.6,91.12,45.7
Portland Trail Blazers,15,6,9,735.0,105.3,104.8,0.5,56.4,1.27,15.6,37.2,68.9,52.5,17.2,48.8,53.0,91.23,49.1
Toronto Raptors,15,6,9,735.0,98.7,104.3,-5.6,59.0,1.19,15.5,35.0,65.8,50.4,18.2,46.4,50.4,89.86,45.5
Los Angeles Clippers,14,5,9,677.0,104.1,108.6,-4.6,54.2,1.17,15.5,32.2,63.9,48.0,18.0,49.4,54.0,90.90,46.2
Minnesota Timberwolves,15,5,10,725.0,104.4,111.5,-7.2,64.3,1.43,17.2,35.8,62.6,48.8,17.1,47.1,52.5,91.20,45.6
New Jersey Nets,15,5,10,730.0,97.9,106.2,-8.3,60.8,1.33,16.2,34.0,64.7,48.2,17.1,45.3,49.1,95.15,45.0
San Antonio Spurs,12,5,7,576.0,104.3,110.1,-5.9,61.0,1.36,17.0,30.2,62.7,46.8,17.2,50.5,55.0,90.04,47.6
Vancouver Grizzlies,14,4,10,672.0,102.0,113.7,-11.6,65.3,1.65,18.7,32.1,62.8,47.0,16.1,48.6,51.6,88.82,43.2
Denver Nuggets,14,3,11,682.0,104.1,108.7,-4.6,68.0,1.64,18.4,31.4,67.6,49.5,15.8,48.5,53.0,92.34,46.9
Boston Celtics,13,2,11,644.0,100.9,108.1,-7.2,54.8,1.26,15.7,30.7,63.3,46.9,16.9,48.0,51.9,93.91,43.8
Orlando Magic,14,2,12,687.0,94.7,106.5,-11.8,62.0,1.14,15.8,32.3,65.0,47.6,19.1,45.1,49.1,87.93,40.1
Philadelphia 76ers,13,1,12,624.0,99.8,110.3,-10.4,56.0,1.06,14.5,37.7,67.4,51.9,19.2,45.0,50.1,95.21,41.6
