TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Utah Jazz,15,14,1,720.0,119.0,106.4,12.7,67.6,1.81,20.2,37.1,69.4,54.4,16.2,55.2,60.5,89.77,60.7
Portland Trail Blazers,15,13,2,720.0,109.3,97.7,11.6,59.0,1.34,17.4,32.0,69.5,52.0,18.0,54.2,57.5,93.40,57.3
Atlanta Hawks,16,12,4,773.0,107.1,100.3,6.8,59.8,1.27,16.3,34.1,69.1,52.0,17.7,50.7,55.9,88.95,55.9
Chicago Bulls,14,12,2,677.0,112.7,100.6,12.1,69.0,1.92,19.7,41.3,65.2,53.6,15.6,49.6,53.9,90.97,59.7
Phoenix Suns,15,12,3,730.0,113.8,106.2,7.6,70.6,2.00,20.4,28.1,66.9,48.2,14.4,53.7,58.5,95.18,55.0
Houston Rockets,14,11,3,672.0,108.1,100.9,7.2,70.5,1.82,20.7,28.8,69.8,50.7,16.1,53.1,56.7,92.36,56.2
Miami Heat,14,11,3,682.0,106.5,101.0,5.4,62.4,1.54,17.4,30.4,69.3,49.3,15.6,50.7,54.4,89.03,52.6
Washington Bullets,15,11,4,725.0,108.2,101.7,6.5,57.8,1.36,17.3,36.6,67.8,52.6,17.9,52.0,55.5,93.29,56.3
Orlando Magic,16,10,6,773.0,108.9,108.4,0.6,55.6,1.53,16.3,30.2,66.7,47.8,14.6,50.6,54.8,89.76,48.4
Seattle SuperSonics,16,10,6,773.0,113.1,103.7,9.4,67.5,1.85,19.6,35.2,64.9,49.9,15.4,52.5,56.3,90.16,56.8
Charlotte Hornets,13,9,4,634.0,109.5,106.5,3.0,70.0,1.80,19.9,27.1,68.0,49.0,15.4,53.7,58.2,88.96,54.6
Los Angeles Lakers,14,9,5,682.0,106.0,102.4,3.6,57.6,1.51,15.7,35.4,64.1,49.5,14.5,47.5,52.1,92.34,52.4
New York Knicks,14,9,5,672.0,104.9,100.0,4.9,61.0,1.40,17.3,30.0,68.8,50.8,17.0,50.8,55.1,89.71,56.4
Indiana Pacers,15,8,7,725.0,110.3,107.9,2.4,64.7,1.50,18.5,35.7,66.7,51.4,17.6,52.7,56.5,89.25,49.7
Detroit Pistons,15,7,8,720.0,106.8,105.5,1.3,57.0,1.64,16.5,26.0,70.6,48.3,13.4,50.7,54.9,87.23,50.1
Cleveland Cavaliers,16,6,10,773.0,97.7,102.8,-5.1,60.4,1.34,16.2,28.6,65.7,46.2,16.6,46.6,50.4,83.39,45.6
Los Angeles Clippers,17,6,11,831.0,105.9,109.9,-4.0,55.8,1.53,15.9,33.1,65.9,48.6,14.4,48.2,52.6,92.91,47.6
Minnesota Timberwolves,16,6,10,768.0,107.8,111.2,-3.4,67.8,1.93,19.2,31.0,67.8,49.3,14.0,50.1,54.7,92.13,50.2
New Jersey Nets,15,6,9,720.0,105.5,108.9,-3.4,54.7,1.26,15.4,39.4,63.8,51.4,17.5,47.2,51.5,94.83,46.4
Toronto Raptors,16,6,10,773.0,104.1,108.4,-4.3,61.6,1.43,16.9,35.9,68.2,51.0,16.8,48.4,51.8,91.09,46.0
Philadelphia 76ers,14,5,9,672.0,106.2,110.4,-4.2,56.5,1.34,15.7,35.3,67.4,50.8,16.4,47.7,53.2,97.25,46.6
San Antonio Spurs,15,5,10,725.0,103.6,113.1,-9.5,55.9,1.30,15.9,34.8,64.3,49.4,17.0,47.8,52.2,88.92,43.9
Golden State Warriors,16,4,12,788.0,105.9,113.0,-7.1,59.5,1.13,16.4,35.7,67.5,51.6,20.2,50.5,55.8,92.04,44.2
Sacramento Kings,15,4,11,725.0,103.2,108.0,-4.8,58.5,1.12,16.2,34.4,65.9,50.4,20.0,50.2,54.7,91.93,46.1
Dallas Mavericks,17,3,14,821.0,95.7,105.0,-9.4,57.8,1.18,15.2,34.2,64.4,49.0,17.9,44.1,48.5,87.49,43.0
Denver Nuggets,13,3,10,629.0,105.0,113.3,-8.3,61.6,1.36,16.4,29.2,68.4,48.3,16.6,49.3,54.0,93.63,43.2
Milwaukee Bucks,15,3,12,720.0,101.9,110.2,-8.3,56.0,1.24,16.0,32.2,67.8,49.4,17.6,48.2,52.5,91.30,42.1
Boston Celtics,16,2,14,773.0,104.9,113.0,-8.0,59.5,1.40,16.0,33.5,64.9,48.2,15.9,47.1,52.2,95.84,43.1
Vancouver Grizzlies,14,1,13,682.0,99.0,111.3,-12.2,63.9,1.29,17.1,33.5,60.3,47.1,18.6,46.8,51.0,87.84,42.8
