TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Chicago Bulls,16,15,1,768.0,110.5,93.3,17.1,64.3,1.83,18.9,34.2,69.5,52.5,14.9,50.9,54.6,93.75,63.7
Houston Rockets,16,15,1,793.0,108.9,99.6,9.3,66.0,1.28,17.7,37.6,69.5,54.0,19.8,51.5,56.2,93.19,56.6
Seattle SuperSonics,17,14,3,826.0,108.6,100.1,8.5,65.3,1.51,18.2,32.7,64.7,49.2,16.9,51.6,56.1,93.44,56.5
Miami Heat,16,12,4,778.0,102.3,97.7,4.6,58.5,1.18,16.2,33.8,67.4,50.6,19.0,49.8,53.4,90.54,52.2
Detroit Pistons,14,11,3,677.0,107.0,100.2,6.8,51.3,1.13,14.4,32.5,67.5,50.3,17.4,50.0,54.8,85.51,52.2
Los Angeles Lakers,17,11,6,826.0,104.1,102.1,2.0,64.0,1.31,17.6,33.4,66.4,50.3,18.8,51.1,54.3,90.94,51.3
Utah Jazz,13,11,2,629.0,108.3,99.1,9.2,69.2,1.68,19.4,31.9,68.4,51.2,16.5,50.1,55.1,91.80,59.6
Portland Trail Blazers,16,10,6,783.0,105.4,98.7,6.7,58.1,1.13,15.8,39.9,69.4,55.2,19.7,50.1,54.5,91.03,56.1
Atlanta Hawks,16,9,7,768.0,98.3,96.4,1.9,52.7,0.97,13.8,32.7,67.3,50.2,19.1,46.7,51.1,88.13,50.2
Cleveland Cavaliers,14,9,5,677.0,101.3,94.6,6.7,60.9,1.36,17.1,31.8,68.9,50.3,17.5,49.6,52.6,86.25,53.9
New York Knicks,14,9,5,677.0,103.4,99.7,3.7,62.4,1.06,16.9,35.7,70.0,53.6,22.2,51.5,56.4,93.41,53.6
Charlotte Hornets,14,8,6,672.0,105.4,105.3,0.1,69.4,1.58,19.0,30.9,66.2,48.9,17.0,50.6,54.6,88.96,51.4
Milwaukee Bucks,15,8,7,725.0,104.3,101.6,2.7,50.1,1.20,14.4,34.0,68.8,51.6,16.2,48.0,53.0,91.50,51.5
Orlando Magic,12,8,4,576.0,99.7,98.4,1.3,55.5,1.05,14.5,39.9,65.4,52.2,19.5,45.4,49.5,89.54,49.6
Minnesota Timberwolves,15,7,8,725.0,97.6,100.3,-2.6,58.2,1.18,15.5,32.8,64.5,48.5,17.9,45.6,50.4,92.62,47.7
Philadelphia 76ers,15,7,8,720.0,98.6,101.4,-2.8,61.7,1.02,15.6,36.8,64.4,50.5,21.2,47.4,52.0,97.00,49.4
Washington Bullets,15,7,8,740.0,99.7,100.9,-1.3,58.1,1.44,16.4,31.1,65.4,47.8,15.8,47.4,50.6,92.85,50.5
Los Angeles Clippers,16,6,10,788.0,96.9,100.0,-3.1,53.5,1.02,14.0,36.3,65.4,50.2,18.8,44.3,49.0,90.88,45.6
Denver Nuggets,16,5,11,778.0,96.6,102.0,-5.4,66.6,1.10,16.5,33.8,67.1,50.7,20.9,46.6,51.8,95.11,47.1
Indiana Pacers,13,5,8,629.0,99.2,98.4,0.8,59.4,1.14,15.9,31.9,68.8,50.7,19.1,47.9,52.5,91.31,50.4
Sacramento Kings,16,5,11,783.0,98.7,107.2,-8.5,59.2,1.22,16.2,31.5,64.7,48.3,18.1,47.1,51.4,91.31,44.3
Boston Celtics,14,4,10,672.0,98.4,105.0,-6.6,57.2,1.15,15.6,32.5,67.4,49.3,18.5,46.6,51.0,96.25,43.7
Dallas Mavericks,14,4,10,672.0,100.5,105.7,-5.2,65.4,1.28,17.3,34.2,61.1,47.7,19.0,48.3,52.1,93.82,46.3
Golden State Warriors,15,4,11,730.0,105.2,111.7,-6.5,64.7,1.34,17.7,31.7,63.0,47.4,18.3,50.1,55.4,94.26,46.3
Toronto Raptors,14,4,10,672.0,99.1,103.9,-4.8,53.5,0.95,14.0,35.0,65.5,49.5,20.2,46.9,51.3,92.93,45.0
New Jersey Nets,12,3,9,581.0,96.7,102.7,-5.9,57.4,1.01,13.8,40.2,64.4,51.6,19.4,42.5,47.9,96.37,44.7
San Antonio Spurs,15,2,13,720.0,98.6,106.6,-8.0,62.5,1.27,16.4,33.9,63.8,48.4,18.1,45.5,49.7,87.50,43.8
Vancouver Grizzlies,17,2,15,826.0,93.5,105.8,-12.3,65.8,1.37,17.0,29.6,58.9,43.6,17.2,44.8,48.2,90.45,41.1
Phoenix Suns,15,1,14,725.0,97.6,105.8,-8.2,61.4,1.38,16.6,30.6,64.2,46.9,16.6,45.2,49.6,95.07,43.7
