A_Team,H_Team,A_Q1,H_Q1,A_Q2,H_Q2,A_Q3,H_Q3,A_Q4,H_Q4,A_OT1,H_OT1,A_OT2,H_OT2,A_OT3,H_OT3,A_OT4,H_OT4,A_OT5,H_OT5,A_OT6,H_OT6,A_Final,H_Final,A_FG,H_FG,A_Field Goal %,H_Field Goal %,A_3PT,H_3PT,A_Three Point %,H_Three Point %,A_FT,H_FT,A_Free Throw %,H_Free Throw %,A_Rebounds,H_Rebounds,A_Offensive Rebounds,H_Offensive Rebounds,A_Defensive Rebounds,H_Defensive Rebounds,A_Assists,H_Assists,A_Steals,H_Steals,A_Blocks,H_Blocks,A_Total Turnovers,H_Total Turnovers,A_Points Off Turnovers,H_Points Off Turnovers,A_Fast Break Points,H_Fast Break Points,A_Points in Paint,H_Points in Paint,A_Fouls,H_Fouls,A_Technical Fouls,H_Technical Fouls,A_Flagrant Fouls,H_Flagrant Fouls,A_Largest Lead,H_Largest Lead
PHI,BOS,21.0,21.0,21.0,26.0,24.0,30.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,105.0,34-87,42-97,39.1,43.3,5-26,11-37,19.2,29.7,14-23,10-14,60.9,71.4,57.0,64.0,6.0,12.0,41.0,43.0,18.0,21.0,8.0,7.0,5.0,5.0,16.0,15.0,14.0,11.0,16.0,6.0,50.0,34.0,20.0,20.0,0.0,0.0,0.0,0.0,4.0,18.0
OKC,GS,23.0,31.0,24.0,26.0,32.0,26.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,108.0,33-91,42-95,36.3,44.2,10-37,7-26,27.0,26.9,24-37,17-18,64.9,94.4,59.0,66.0,16.0,17.0,29.0,41.0,21.0,28.0,12.0,7.0,6.0,7.0,15.0,21.0,16.0,19.0,10.0,13.0,34.0,58.0,21.0,29.0,0.0,0.0,0.0,0.0,3.0,14.0
NO,HOU,35.0,29.0,36.0,25.0,30.0,30.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,112.0,52-98,39-92,53.1,42.4,10-25,16-48,40.0,33.3,17-22,18-24,77.3,75.0,61.0,49.0,14.0,8.0,40.0,29.0,36.0,21.0,8.0,8.0,3.0,7.0,12.0,12.0,13.0,18.0,19.0,14.0,76.0,44.0,25.0,22.0,0.0,1.0,0.0,0.0,29.0,0.0
DAL,PHX,24.0,37.0,22.0,19.0,27.0,27.0,27.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,121.0,38-88,44-81,43.2,54.3,10-33,19-34,30.3,55.9,14-20,14-16,70.0,87.5,47.0,48.0,10.0,6.0,28.0,38.0,28.0,35.0,7.0,5.0,5.0,2.0,9.0,12.0,14.0,13.0,10.0,16.0,54.0,36.0,16.0,22.0,0.0,0.0,0.0,0.0,2.0,21.0
CHI,PHI,41.0,38.0,17.0,27.0,18.0,37.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,127.0,44-101,44-93,43.6,47.3,11-33,12-36,33.3,33.3,9-12,27-30,75.0,90.0,48.0,64.0,5.0,11.0,34.0,44.0,28.0,30.0,4.0,10.0,6.0,8.0,12.0,13.0,17.0,3.0,3.0,20.0,46.0,46.0,23.0,17.0,0.0,1.0,0.0,0.0,6.0,27.0
LAL,POR,31.0,34.0,32.0,31.0,28.0,28.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,128.0,45-93,44-100,48.4,44.0,7-30,13-37,23.3,35.1,22-29,27-29,75.9,93.1,53.0,60.0,8.0,14.0,38.0,40.0,23.0,21.0,10.0,9.0,6.0,10.0,15.0,17.0,18.0,17.0,34.0,12.0,70.0,56.0,26.0,26.0,0.0,0.0,0.0,0.0,10.0,13.0
BOS,TOR,25.0,18.0,28.0,31.0,26.0,33.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,113.0,40-99,43-92,40.4,46.7,14-36,13-35,38.9,37.1,7-10,14-19,70.0,73.7,59.0,57.0,16.0,12.0,33.0,37.0,29.0,24.0,4.0,3.0,6.0,3.0,16.0,13.0,12.0,11.0,18.0,14.0,34.0,46.0,27.0,19.0,0.0,0.0,0.0,0.0,8.0,12.0
GS,UTAH,32.0,34.0,37.0,47.0,28.0,22.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,123.0,49-87,40-89,56.3,44.9,10-19,19-46,52.6,41.3,16-18,24-29,88.9,82.8,46.0,48.0,8.0,10.0,35.0,28.0,27.0,24.0,10.0,11.0,6.0,4.0,16.0,17.0,20.0,19.0,20.0,18.0,46.0,36.0,23.0,19.0,2.0,1.0,0.0,0.0,5.0,16.0
TOR,WSH,24.0,22.0,33.0,32.0,33.0,28.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,113.0,39-88,37-89,44.3,41.6,10-29,13-39,34.5,33.3,29-36,26-32,80.6,81.3,64.0,50.0,14.0,9.0,38.0,28.0,21.0,20.0,5.0,11.0,5.0,9.0,17.0,11.0,30.0,16.0,4.0,34.0,48.0,38.0,29.0,27.0,1.0,3.0,0.0,0.0,13.0,5.0
HOU,LAL,31.0,28.0,35.0,34.0,32.0,35.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,115.0,44-96,48-100,45.8,48.0,16-42,8-32,38.1,25.0,20-30,11-18,66.7,61.1,69.0,52.0,13.0,9.0,41.0,35.0,22.0,28.0,7.0,8.0,4.0,10.0,18.0,11.0,22.0,18.0,17.0,22.0,52.0,68.0,21.0,21.0,2.0,3.0,1.0,0.0,10.0,5.0
HOU,LAC,24.0,29.0,29.0,25.0,31.0,39.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,115.0,43-89,42-89,48.3,47.2,15-35,5-25,42.9,20.0,11-15,26-26,73.3,100.0,43.0,54.0,6.0,12.0,29.0,37.0,28.0,22.0,6.0,8.0,6.0,7.0,12.0,13.0,25.0,18.0,15.0,13.0,54.0,64.0,23.0,16.0,0.0,0.0,0.0,0.0,5.0,11.0
MIL,NY,22.0,24.0,26.0,22.0,36.0,22.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,95.0,40-89,35-97,44.9,36.1,6-32,8-29,18.8,27.6,23-34,17-21,67.6,81.0,62.0,64.0,6.0,15.0,45.0,42.0,22.0,17.0,9.0,4.0,8.0,3.0,8.0,14.0,7.0,15.0,12.0,7.0,54.0,44.0,19.0,25.0,0.0,0.0,0.0,0.0,19.0,6.0
OKC,HOU,22.0,22.0,38.0,30.0,28.0,34.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,113.0,43-98,44-97,43.9,45.4,9-30,14-44,30.0,31.8,14-21,11-17,66.7,64.7,58.0,63.0,18.0,17.0,34.0,37.0,23.0,18.0,12.0,9.0,11.0,4.0,15.0,20.0,19.0,21.0,19.0,13.0,64.0,54.0,22.0,25.0,1.0,0.0,0.0,0.0,11.0,9.0
PHI,BOS,25.0,32.0,26.0,25.0,38.0,29.0,19.0,22.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,121.0,38-92,45-108,41.3,41.7,15-40,14-41,37.5,34.1,23-29,17-20,79.3,85.0,64.0,62.0,9.0,13.0,47.0,42.0,25.0,21.0,6.0,8.0,4.0,4.0,19.0,9.0,22.0,5.0,15.0,23.0,30.0,50.0,21.0,21.0,1.0,1.0,0.0,0.0,7.0,11.0
LAL,GS,32.0,25.0,33.0,25.0,26.0,32.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,101.0,47-85,38-93,55.3,40.9,13-33,9-36,39.4,25.0,20-27,16-21,74.1,76.2,57.0,48.0,6.0,7.0,43.0,30.0,27.0,28.0,5.0,5.0,3.0,1.0,12.0,14.0,20.0,20.0,18.0,15.0,58.0,46.0,20.0,21.0,0.0,0.0,0.0,0.0,31.0,3.0
POR,UTAH,24.0,24.0,23.0,35.0,23.0,24.0,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,117.0,35-89,46-83,39.3,55.4,9-23,13-29,39.1,44.8,17-26,12-23,65.4,52.2,50.0,61.0,11.0,9.0,31.0,40.0,20.0,20.0,7.0,7.0,3.0,10.0,12.0,17.0,14.0,14.0,10.0,8.0,46.0,58.0,20.0,19.0,0.0,0.0,0.0,0.0,2.0,23.0
NO,MEM,21.0,28.0,33.0,22.0,28.0,18.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,85.0,39-74,33-88,52.7,37.5,9-26,9-35,34.6,25.7,18-26,10-17,69.2,58.8,61.0,44.0,7.0,10.0,43.0,25.0,19.0,21.0,8.0,10.0,7.0,1.0,19.0,12.0,21.0,22.0,6.0,10.0,48.0,42.0,17.0,19.0,1.0,0.0,0.0,0.0,23.0,9.0
HOU,PHI,26.0,30.0,24.0,35.0,13.0,29.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,121.0,31-86,43-88,36.0,48.9,11-42,8-23,26.2,34.8,20-26,27-33,76.9,81.8,46.0,66.0,6.0,10.0,32.0,45.0,14.0,21.0,9.0,9.0,6.0,14.0,12.0,13.0,11.0,13.0,17.0,21.0,38.0,56.0,25.0,22.0,3.0,1.0,0.0,0.0,5.0,34.0
GS,LAL,29.0,24.0,36.0,31.0,45.0,25.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,111.0,50-98,42-84,51.0,50.0,16-37,5-20,43.2,25.0,14-19,22-38,73.7,57.9,56.0,55.0,13.0,7.0,37.0,35.0,41.0,20.0,8.0,1.0,6.0,4.0,12.0,15.0,13.0,24.0,24.0,10.0,52.0,64.0,27.0,19.0,0.0,0.0,0.0,0.0,36.0,2.0
